Field,Laureate
Medicine,Bengt I. Samuelsson•À_
Medicine,John R. Vane•À_
Medicine,Sune K. Bergstr•À_m•À_
The Nobel Peace Prize,Alfonso Garc•À_a Robles•À_
The Nobel Peace Prize,Alva Myrdal•À_
Chemistry,Henry Taube•À_
Economic Sciences,Gerard Debreu•À_
Literature,William Golding•À_
Physics,Subramanyan Chandrasekhar•À_
Physics,William Alfred Fowler•À_
Medicine,Barbara McClintock•À_
The Nobel Peace Prize,Lech Walesa•À_
Chemistry,Robert Bruce Merrifield•À_
Economic Sciences,Richard Stone•À_
Literature,Jaroslav Seifert•À_
Physics,Carlo Rubbia•À_
Physics,Simon van der Meer•À_
Medicine,C•À_sar Milstein•À_
Medicine,Georges J.F. K•À_hler•À_
Medicine,Niels K. Jerne•À_
The Nobel Peace Prize,Desmond Mpilo Tutu•À_
Chemistry,Herbert A. Hauptman•À_
Chemistry,Jerome Karle•À_
Economic Sciences,Franco Modigliani•À_
Literature,Claude Simon•À_
Physics,Klaus von Klitzing•À_
Medicine,Joseph L. Goldstein•À_
Medicine,Michael S. Brown•À_
The Nobel Peace Prize,International Physicians for the Prevention of Nuclear War•À_
Chemistry,Dudley R. Herschbach•À_
Chemistry,John C. Polanyi•À_
Chemistry,Yuan T. Lee•À_
Economic Sciences,James M. Buchanan Jr.•À_
Literature,Wole Soyinka•À_
Physics,Ernst Ruska•À_
Physics,Gerd Binnig•À_
Physics,Heinrich Rohrer•À_
Medicine,Rita Levi-Montalcini•À_
Medicine,Stanley Cohen•À_
The Nobel Peace Prize,Elie Wiesel•À_
Chemistry,Charles J. Pedersen•À_
Chemistry,Donald J. Cram•À_
Chemistry,Jean-Marie Lehn•À_
Economic Sciences,Robert M. Solow•À_
Literature,Joseph Brodsky•À_
Physics,J. Georg Bednorz•À_
Physics,K. Alexander M•À_ller•À_
Medicine,Susumu Tonegawa•À_
The Nobel Peace Prize,Oscar Arias S•À_nchez•À_
Chemistry,Hartmut Michel•À_
Chemistry,Johann Deisenhofer•À_
Chemistry,Robert Huber•À_
Economic Sciences,Maurice Allais•À_
Literature,Naguib Mahfouz•À_
Physics,Jack Steinberger•À_
Physics,Leon M. Lederman•À_
Physics,Melvin Schwartz•À_
Medicine,George H. Hitchings•À_
Medicine,Gertrude B. Elion•À_
Medicine,Sir James W. Black•À_
The Nobel Peace Prize,United Nations Peacekeeping Forces•À_
Chemistry,Sidney Altman•À_
Chemistry,Thomas R. Cech•À_
Economic Sciences,Trygve Haavelmo•À_
Literature,Camilo Jos•À_ Cela•À_
Physics,Hans G. Dehmelt•À_
Physics,Norman F. Ramsey•À_
Physics,Wolfgang Paul•À_
Medicine,Harold E. Varmus•À_
Medicine,J. Michael Bishop•À_
The Nobel Peace Prize,The 14th Dalai Lama (Tenzin Gyatso)•À_
Chemistry,Elias James Corey•À_
Economic Sciences,Harry M. Markowitz•À_
Economic Sciences,Merton H. Miller•À_
Economic Sciences,William F. Sharpe•À_
Literature,Octavio Paz•À_
Physics,Henry W. Kendall•À_
Physics,Jerome I. Friedman•À_
Physics,Richard E. Taylor•À_
Medicine,E. Donnall Thomas•À_
Medicine,Joseph E. Murray•À_
The Nobel Peace Prize,Mikhail Sergeyevich Gorbachev•À_
Chemistry,Richard R. Ernst•À_
Economic Sciences,Ronald H. Coase•À_
Literature,Nadine Gordimer•À_
Physics,Pierre-Gilles de Gennes•À_
Medicine,Bert Sakmann•À_
Medicine,Erwin Neher•À_
The Nobel Peace Prize,Aung San Suu Kyi•À_
Chemistry,Rudolph A. Marcus•À_
Economic Sciences,Gary S. Becker•À_
Literature,Derek Walcott•À_
Physics,Georges Charpak•À_
Medicine,Edmond H. Fischer•À_
Medicine,Edwin G. Krebs•À_
The Nobel Peace Prize,Rigoberta Mench•À_ Tum•À_
Chemistry,Kary B. Mullis•À_
Chemistry,Michael Smith•À_
Economic Sciences,Douglass C. North•À_
Economic Sciences,Robert W. Fogel•À_
Literature,Toni Morrison•À_
Physics,Joseph H. Taylor Jr.•À_
Physics,Russell A. Hulse•À_
Medicine,Phillip A. Sharp•À_
Medicine,Richard J. Roberts•À_
The Nobel Peace Prize,Frederik Willem de Klerk•À_
The Nobel Peace Prize,Nelson Mandela•À_
Chemistry,George A. Olah•À_
Economic Sciences,John C. Harsanyi•À_
Economic Sciences,John F. Nash Jr.•À_
Economic Sciences,Reinhard Selten•À_
Literature,Kenzaburo Oe•À_
Physics,Bertram N. Brockhouse•À_
Physics,Clifford G. Shull•À_
Medicine,Alfred G. Gilman•À_
Medicine,Martin Rodbell•À_
The Nobel Peace Prize,Shimon Peres•À_
The Nobel Peace Prize,Yasser Arafat•À_
The Nobel Peace Prize,Yitzhak Rabin•À_
Chemistry,F. Sherwood Rowland•À_
Chemistry,Mario J. Molina•À_
Chemistry,Paul J. Crutzen•À_
Economic Sciences,Robert E. Lucas Jr.•À_
Literature,Seamus Heaney•À_
Physics,Frederick Reines•À_
Physics,Martin L. Perl•À_
Medicine,Christiane N•À_sslein-Volhard•À_
Medicine,Edward B. Lewis•À_
Medicine,Eric F. Wieschaus•À_
The Nobel Peace Prize,Joseph Rotblat•À_
The Nobel Peace Prize,Pugwash Conferences on Science and World Affairs•À_
Chemistry,Richard E. Smalley•À_
Chemistry,Robert F. Curl Jr.•À_
Chemistry,Sir Harold W. Kroto•À_
Economic Sciences,James A. Mirrlees•À_
Economic Sciences,William Vickrey•À_
Literature,Wislawa Szymborska•À_
Physics,David M. Lee•À_
Physics,Douglas D. Osheroff•À_
Physics,Robert C. Richardson•À_
Medicine,Peter C. Doherty•À_
Medicine,Rolf M. Zinkernagel•À_
The Nobel Peace Prize,Carlos Filipe Ximenes Belo•À_
The Nobel Peace Prize,Jos•À_ Ramos-Horta•À_
Chemistry,Jens C. Skou•À_
Chemistry,John E. Walker•À_
Chemistry,Paul D. Boyer•À_
Economic Sciences,Myron S. Scholes•À_
Economic Sciences,Robert C. Merton•À_
Literature,Dario Fo•À_
Physics,Claude Cohen-Tannoudji•À_
Physics,Steven Chu•À_
Physics,William D. Phillips•À_
Medicine,Stanley B. Prusiner•À_
The Nobel Peace Prize,International Campaign to Ban Landmines (ICBL)•À_
The Nobel Peace Prize,Jody Williams•À_
Chemistry,John A. Pople•À_
Chemistry,Walter Kohn•À_
Economic Sciences,Amartya Sen•À_
Literature,Jos•À_ Saramago•À_
Physics,Daniel C. Tsui•À_
Physics,Horst L. St•À_rmer•À_
Physics,Robert B. Laughlin•À_
Medicine,Ferid Murad•À_
Medicine,Louis J. Ignarro•À_
Medicine,Robert F. Furchgott•À_
The Nobel Peace Prize,David Trimble•À_
The Nobel Peace Prize,John Hume•À_
Chemistry,Ahmed H. Zewail•À_
Economic Sciences,Robert A. Mundell•À_
Literature,G•À_nter Grass•À_
Physics,Gerardus 't Hooft•À_
Physics,Martinus J.G. Veltman•À_
Medicine,G•À_nter Blobel•À_
The Nobel Peace Prize,M•À_decins Sans Fronti•À_res•À_
Chemistry,Alan G. MacDiarmid•À_
Chemistry,Alan J. Heeger•À_
Chemistry,Hideki Shirakawa•À_
Economic Sciences,Daniel L. McFadden•À_
Economic Sciences,James J. Heckman•À_
Literature,Gao Xingjian•À_
Physics,Herbert Kroemer•À_
Physics,Jack S. Kilby•À_
Physics,Zhores I. Alferov•À_
Medicine,Arvid Carlsson•À_
Medicine,Eric R. Kandel•À_
Medicine,Paul Greengard•À_
The Nobel Peace Prize,Kim Dae-jung•À_
Chemistry,K. Barry Sharpless•À_
Chemistry,Ryoji Noyori•À_
Chemistry,William S. Knowles•À_
Economic Sciences,A. Michael Spence•À_
Economic Sciences,George A. Akerlof•À_
Economic Sciences,Joseph E. Stiglitz•À_
Literature,Sir Vidiadhar Surajprasad Naipaul•À_
Physics,Carl E. Wieman•À_
Physics,Eric A. Cornell•À_
Physics,Wolfgang Ketterle•À_
Medicine,Leland H. Hartwell•À_
Medicine,Sir Paul M. Nurse•À_
Medicine,Tim Hunt•À_
The Nobel Peace Prize,Kofi Annan•À_
The Nobel Peace Prize,United Nations (U.N.)•À_
Chemistry,John B. Fenn•À_
Chemistry,Koichi Tanaka•À_
Chemistry,Kurt W•À_thrich•À_
Economic Sciences,Daniel Kahneman•À_
Economic Sciences,Vernon L. Smith•À_
Literature,Imre Kert•À_sz•À_
Physics,Masatoshi Koshiba•À_
Physics,Raymond Davis Jr.•À_
Physics,Riccardo Giacconi•À_
Medicine,H. Robert Horvitz•À_
Medicine,John E. Sulston•À_
Medicine,Sydney Brenner•À_
The Nobel Peace Prize,Jimmy Carter•À_
Chemistry,Peter Agre•À_
Chemistry,Roderick MacKinnon•À_
Economic Sciences,Clive W.J. Granger•À_
Economic Sciences,Robert F. Engle III•À_
Literature,John M. Coetzee•À_
Physics,Alexei A. Abrikosov•À_
Physics,Anthony J. Leggett•À_
Physics,Vitaly L. Ginzburg•À_
Medicine,Paul C. Lauterbur•À_
Medicine,Sir Peter Mansfield•À_
The Nobel Peace Prize,Shirin Ebadi•À_
Chemistry,Aaron Ciechanover•À_
Chemistry,Avram Hershko•À_
Chemistry,Irwin Rose•À_
Economic Sciences,Edward C. Prescott•À_
Economic Sciences,Finn E. Kydland•À_
Literature,Elfriede Jelinek•À_
Physics,David J. Gross•À_
Physics,Frank Wilczek•À_
Physics,H. David Politzer•À_
Medicine,Linda B. Buck•À_
Medicine,Richard Axel•À_
The Nobel Peace Prize,Wangari Muta Maathai•À_
Chemistry,Richard R. Schrock•À_
Chemistry,Robert H. Grubbs•À_
Chemistry,Yves Chauvin•À_
Economic Sciences,Robert J. Aumann•À_
Economic Sciences,Thomas C. Schelling•À_
Literature,Harold Pinter•À_
Physics,John L. Hall•À_
Physics,Roy J. Glauber•À_
Physics,Theodor W. H•À_nsch•À_
Medicine,Barry J. Marshall•À_
Medicine,J. Robin Warren•À_
The Nobel Peace Prize,International Atomic Energy Agency (IAEA)•À_
The Nobel Peace Prize,Mohamed ElBaradei•À_
Chemistry,Roger D. Kornberg•À_
Economic Sciences,Edmund S. Phelps•À_
Literature,Orhan Pamuk•À_
Physics,George F. Smoot•À_
Physics,John C. Mather•À_
Medicine,Andrew Z. Fire•À_
Medicine,Craig C. Mello•À_
The Nobel Peace Prize,Grameen Bank•À_
The Nobel Peace Prize,Muhammad Yunus•À_
Chemistry,Gerhard Ertl•À_
Economic Sciences,Eric S. Maskin•À_
Economic Sciences,Leonid Hurwicz•À_
Economic Sciences,Roger B. Myerson•À_
Literature,Doris Lessing•À_
Physics,Albert Fert•À_
Physics,Peter Gr•À_nberg•À_
Medicine,Mario R. Capecchi•À_
Medicine,Oliver Smithies•À_
Medicine,Sir Martin J. Evans•À_
The Nobel Peace Prize,Albert Arnold (Al) Gore Jr.•À_
The Nobel Peace Prize,Intergovernmental Panel on Climate Change (IPCC)•À_
Chemistry,Martin Chalfie•À_
Chemistry,Osamu Shimomura•À_
Chemistry,Roger Y. Tsien•À_
Economic Sciences,Paul Krugman•À_
Literature,Jean-Marie Gustave Le Cl•À_zio•À_
Physics,Makoto Kobayashi•À_
Physics,Toshihide Maskawa•À_
Physics,Yoichiro Nambu•À_
Medicine,Fran•À_oise Barr•À_-Sinoussi•À_
Medicine,Harald zur Hausen•À_
Medicine,Luc Montagnier•À_
The Nobel Peace Prize,Martti Ahtisaari•À_
Chemistry,Ada E. Yonath•À_
Chemistry,Thomas A. Steitz•À_
Chemistry,Venkatraman Ramakrishnan•À_
Economic Sciences,Elinor Ostrom•À_
Economic Sciences,Oliver E. Williamson•À_
Literature,Herta M•À_ller•À_
Physics,Charles Kuen Kao•À_
Physics,George E. Smith•À_
Physics,Willard S. Boyle•À_
Medicine,Carol W. Greider•À_
Medicine,Elizabeth H. Blackburn•À_
Medicine,Jack W. Szostak•À_
The Nobel Peace Prize,Barack H. Obama•À_
Chemistry,Akira Suzuki•À_
Chemistry,Ei-ichi Negishi•À_
Chemistry,Richard F. Heck•À_
Economic Sciences,Christopher A. Pissarides•À_
Economic Sciences,Dale T. Mortensen•À_
Economic Sciences,Peter A. Diamond•À_
Literature,Mario Vargas Llosa•À_
Physics,Andre Geim•À_
Physics,Konstantin Novoselov•À_
Medicine,Robert G. Edwards•À_
The Nobel Peace Prize,Liu Xiaobo•À_
Chemistry,Dan Shechtman•À_
Economic Sciences,Christopher A. Sims•À_
Economic Sciences,Thomas J. Sargent•À_
Literature,Tomas Transtr•À_mer•À_
Physics,Adam G. Riess•À_
Physics,Brian P. Schmidt•À_
Physics,Saul Perlmutter•À_
Medicine,Bruce A. Beutler•À_
Medicine,Jules A. Hoffmann•À_
Medicine,Ralph M. Steinman•À_
The Nobel Peace Prize,Ellen Johnson Sirleaf•À_
The Nobel Peace Prize,Leymah Gbowee•À_
The Nobel Peace Prize,Tawakkol Karman•À_
Chemistry,Brian K. Kobilka•À_
Chemistry,Robert J. Lefkowitz•À_
Economic Sciences,Alvin E. Roth•À_
Economic Sciences,Lloyd S. Shapley•À_
Literature,Mo Yan•À_
Physics,David J. Wineland•À_
Physics,Serge Haroche•À_
Medicine,Shinya Yamanaka•À_
Medicine,Sir John B. Gurdon•À_
The Nobel Peace Prize,European Union (EU)•À_
Chemistry,Arieh Warshel•À_
Chemistry,Martin Karplus•À_
Chemistry,Michael Levitt•À_
Economic Sciences,Eugene F. Fama•À_
Economic Sciences,Lars Peter Hansen•À_
Economic Sciences,Robert J. Shiller•À_
Literature,Alice Munro•À_
Physics,Fran•À_ois Englert•À_
Physics,Peter W. Higgs•À_
Medicine,James E. Rothman•À_
Medicine,Randy W. Schekman•À_
Medicine,Thomas C. S•À_dhof•À_
The Nobel Peace Prize,Organisation for the Prohibition of Chemical Weapons (OPCW)•À_
Chemistry,Eric Betzig•À_
Chemistry,Stefan W. Hell•À_
Chemistry,William E. Moerner•À_
Economic Sciences,Jean Tirole•À_
Literature,Patrick Modiano•À_
Physics,Hiroshi Amano•À_
Physics,Isamu Akasaki•À_
Physics,Shuji Nakamura•À_
Medicine,Edvard I. Moser•À_
Medicine,John O'Keefe•À_
Medicine,May-Britt Moser•À_
The Nobel Peace Prize,Kailash Satyarthi•À_
The Nobel Peace Prize,Malala Yousafzai•À_
Chemistry,Aziz Sancar•À_
Chemistry,Paul Modrich•À_
Chemistry,Tomas Lindahl•À_
Economic Sciences,"The 2015 Prize in Economic Sciences has not been awarded yet. It will be announced on Monday 12 October, 1:00 p.m. CET at the earliest."
Literature,Svetlana Alexievich•À_
Physics,Arthur B. McDonald•À_
Physics,Takaaki Kajita•À_
Medicine,Satoshi _mura•À_
Medicine,William C. Campbell•À_
Medicine,Youyou Tu•À_
The Nobel Peace Prize,National Dialogue Quartet•À_
