bank,swiftcode
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXOBO
HSBC CCF SECURITIES (FRANCE) S.A.,CEBOFRPPXXX
OVERSEA-CHINESE BANKING CORPORATION LIMITED  TOKYO BRANCH,OCBCJPJTXXX
CREDIT AGRICOLE CIB,BSUIFRPPLYO
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA0C3
RESONA BANK  LTD.  TRUST DEP.,DIWAJPJAXXX
CHICAGO MERCANTILE EXCHANGE,XCMEUS4FXXX
ODDO ET CIE ENTREPRISE D'INVESTISSEMENT,ODDOFRCPXXX
COMMERCIAL BANK -SOVINCOM',BSOVRUMMXXX
CACEIS BANK,ISAEFRPPMID
ENISEY (PUBLIC COMPANY) JSCB,ENCBRU55XXX
FIRST TENNESSEE BANK N.A.,FTBMUS44KXV
ROYAL BANK OF SCOTLAND PLC,RBOSJPJXJOM
CHINA CONSTRUCTION BANK NEW YORK BRANCH,PCBCUS33XXX
AIG INTERNATIONAL INC.,AIGIUS33XXX
FORD MOTOR COMPANY,FOMOUS33XXX
BANK CAPITAL-MOSCOW,CAIWRUMMXXX
EUROCLEAR FRANCE SA,ESESFRPPINT
ARAB BANK PLC,ARABEGCXMHD
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44KGT
NATIONAL BANK OF ABU DHABI,NBADFRPPXXX
CITIBANK CAIRO,CITIEGCXTRD
EGYPTIAN AMERICAN CO. FOR BROKERAGE,EGABEGCAXXX
ALIAA STOCK BROKERAGE HOUSE,ALIAEGCAXXX
ALWATANY BANK OF EGYPT,WABAEGCXOCT
PAREL,PAREFRPPCIB
FIRST GULF BANK QATAR FINANCIAL CENTRE,FGBMQAQAXXX
YVES ROCHER,YROCFRPPXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33TMX
NATIONAL BANK OF ABU DHABI,NBADEGCAMHD
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTSAP
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL044
CREDIT SUISSE AG  TOKYO BRANCH,CRESJPJTXXX
DEUTSCHE SECURITIES INC.,DEUTJPJ9FX1
ABE CLEARING SAS/EBA CLEARING,EBAPFRPPXXX
LAZARD FRERES BANQUE,LAZPFRCCXXX
MASHREQ BANK,MSHQQAQAXXX
ABACUS FEDERAL SAVINGS BANK,AFSBUS33XXX
AGF ASSET MANAGEMENT,AGFMFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CH1
FINANCIERE BOURBON,FGBBFR2MXXX
Bank or Institution,Swift Code
ALWATANY BANK OF EGYPT,WABAEGCXXXX
NATIXIS,CCBPFRPPNTF
AMERICAN PERSPECTIVE BANK,APBAUS6LXXX
CHEMICAL BANK,CHEMUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL070
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX460
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),GSTRUS33BOS
TADAWOL SECURITIES BROKERAGE CO.,TADLEGCAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX120
CHARLES SCHWAB AND CO.  INC.,CSCHUS6STRE
EGYPTIAN ARAB LAND BANK,ARLBEGCATNT
SUEZ CANAL BANK,SUCAEGCXPTS
CHINA MERCHANTS BANK CO.  LTD.,CMBCUS33XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX590
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL066
SHIKOKU BANK LTD. THE,SIKOJPJTXXX
HSBC BANK PLC,MIDLFRPXXXX
SUEZ CANAL BANK,SUCAEGCXMAN
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM001
EGYPTIAN ARAB LAND BANK,ARLBEGCAMOH
BANQUE DE FRANCE,BDFEFR2TXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CD2
DAGENERGOBANK,DEBARU22XXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXKSR
DOHA BANK,DOHBQAQAXXX
ENERGOTRANSBANK,ENGORU2KXXX
BANQUE FEDERALE DES BANQUES POPULAIRES (BANQUES POPULAIRES REGIONALES),CCBPFRPPINS
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL072
AK BARS BANK OAO,ARRSRU2KXXX
JPMORGAN CHASE BANK  N.A.,CHASFRPPPCG
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL039
CREDIT BANK OF MOSCOW (OPEN JOINT STOCK COMPANY),MCRBRUMMXXX
CHITAPROMSTROYBANK OAO,CHIJRU77XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL056
CAISSE D'EPARGNE AUVERGNE LIMOUSIN,CEPAFRPP871
FIA-BANK,FIAFRU3TXXX
SHIZUOKA BANK  LTD.  THE,SHIZJPJTXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33FTF
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCAFIN
NATIONAL BANK OF ABU DHABI,NBADEGCACHF
GROUPAMA BANQUE,GPBAFRPPXXX
LA BANQUE POSTALE,PSSTFRPPDIJ
QATAR NATIONAL BANK,QNBAFRPPXXX
EGYPTIAN GULF BANK,EGGBEGCAOCT
EGYPTIAN GULF BANK,EGGBEGCAPAY
ALLY FINANCIAL INC,ALYIUS33INC
ARAB BANK PLC,ARABEGCXSPR
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXOCT
VTB BANK (FRANCE) S.A.,EUROFRPPXXX
CHELYABINVESTBANK,CHINRU4CDEM
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCXXXX
DEXIA MUNICIPAL AGENCY PARIS,DXMAFRCCXXX
SUEZ CANAL BANK,SUCAEGCXFOS
CITIBANK JAPAN LTD.,CITIJPJTXXX
SUEZ CANAL BANK,SUCAEGCXORB
AMEGY BANK N.A.,SWBKUS44XXX
BANQUE SAFRA,BSAFFRPPXXX
ALWATANY BANK OF EGYPT,WABAEGCXMNS
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXZAM
EGYPTIAN ARAB LAND BANK,ARLBEGCAMIN
FIRST COMMERCIAL BANK  HO CHI MINH CITY BRANCH,FCBKVNVXXXX
PRIZMA SECURITIES COMPANY,PRSEEGCAXXX
FIRST NATIONAL BANK,FNBOUS44BOL
SAFRAN,SFRAFRPPXXX
CERNER CORPORATION,CEOAUS44XXX
HSBC FRANCE,CCFRFRPP050
BANCO ESPIRITO SANTO DE INVESTIMENTO  S.A.,ESSIUS3NXXX
BANK OF COMMUNICATIONS  TOKYO BRANCH,COMMJPJTXXX
UNION DE BANQUES ARABES ET FRANCAISES,UBAFFRPPXXX
ENERGOMASHBANK PLC,ENEBRU2PXXX
CALYON (FORMERLY CREDIT LYONNAIS RUSBANK),CRLYRU2PL23
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA0A4
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTFND
ART-BANK,ARTBRU3VXXX
CAISSE D'EPARGNE ILE DE FRANCE NORD,CEPAFRPP952
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL067
THE NOMURA TRUST AND BANKING CO.  LTD.,NMTBJPJTDAM
SVENSKA HANDELSBANKEN AB,HANDLV22XXX
ABM BANK LTD,ABMBRUMMXXX
BANQUE CHAABI DU MAROC,BCDMFRPPXXX
NATIONAL BANK OF PAKISTAN  KABUL BRANCH,NBPAAFKAXXX
BANK OF JAPAN,BOJPJPJTXXX
BANCA INTESA ZAO MOSCOW,BCITRUMMXXX
GLOBEOP FINANCIAL SERVICES LLC,GLOPUS33XXX
EGYPTIAN GULF BANK,EGGBEGCABLS
TAJIMA BANK  LTD  THE,TJMAJPJZXXX
CHICAGO MERCANTILE EXCHANGE,XCMEUS4CXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA003
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL035
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FSI
ARAB INTERNATIONAL BANK,ARIBEGCX005
MONTE PASCHI BANQUE S.A.,MONTFRPPCAN
EGYPTIAN ARAB LAND BANK,ARLBEGCAALX
STANDARD CHARTERED BANK,SCBLJPJTXXX
CIBC WORLD MARKETS (JAPAN) INC.,CIWMJPJTXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FSF
COMMERCIAL BANK -LANTA-BANK',COLKRUMMKRA
NATIONAL BANK OF ABU DHABI,NBADEGCAACC
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPSBL
TRASTA KOMERCBANKA,KBRBLV2XXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL071
BNP PARIBAS EQUITIES FRANCE,DBZEFRPPXXX
DOHA BANK,DOHBQAQASRB
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL090
SUEZ CANAL BANK,SUCAEGCXSPH
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX450
LA BANQUE POSTALE,PSSTFRPPSDR
BANQUE POPULAIRE ATLANTIQUE,CCBPFRPPNAN
ALFA-BANK,ALFARUMMTSY
EGYPTIAN ARAB LAND BANK,ARLBEGCAZAG
BANQUE POPULAIRE LOIRE ET LYONNAIS,CCBPFRPPLYO
LA BANQUE POSTALE,PSSTFRPPCAY
CHIBA KOGYO BANK  LTD.  THE,CHIKJPJTXXX
FINANCIAL BROKERAGE GROUP (FBG),EFGHEGCAXXX
NATIONAL BANK OF ABU DHABI,NBADEGCAASU
PICTET ASSET MANAGEMENT (JAPAN) LTD.,PICTJPJTXXX
AGILENT TECHNOLOGIES  INC,AGILUS6SXXX
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPXXX
LA BANQUE POSTALE,PSSTFRPPLIL
HSBC BANK PLC,MIDLFRCPXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL113
IPSEN,IPSNFRPPXXX
MISR IRAN DEVELOPMENT BANK,MIDBEGCXMHD
BANQUE DE DEVELOPPEMENT LOCAL,BDLODZALXXX
CENTERSTATE BANK OF FLORIDA,CSBKUS33XXX
PIONEERS SECURITIES,PONREGCAXXX
THE NOMURA TRUST AND BANKING CO.  LTD.,NMTBJPJTXXX
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZBJPJXXXX
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX059
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXSWH
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCANSR
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX024
EURONEXT PARIS S.A.,XPARFRPP022
BANK OF AMERICA  N.A.,BOFAUS3DAU2
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCALCG
LAZARD FRERES GESTION,LAFGFRPPXXX
FAR EASTERN COMMERCIAL BANK OAO,FAECRU8KBLG
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33XXX
EGYPTIAN ARAB LAND BANK,ARLBEGCATLH
BANK SANKT - PETERBURG OAO,JSBSRU2PXXX
CHELINDBANK,CHLBRU4C760
BANK HAPOALIM B.M.,POALUS33XXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA045
THE NISHI-NIPPON CITY BANK  LTD,NISIJPJTXXX
GBC INTERNATIONAL BANK,GUBCUS6LXXX
BANK OF LATVIA,LACBLV2XXXX
BANQUE RHONE ALPES,RALPFR2GXXX
BANCO LATINOAMERICANO DE COMERCIO EXTERIOR S.A.,BLAEUS3XXXX
CREDIT AGRICOLE CIB TOKYO BRANCH,BSUIJPJTXXX
DOHA BANK,DOHBQAQAMSB
HSBC FRANCE,BABOFRPPXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXISL
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX211
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXALX
BNP PARIBAS SECURITIES (JAPAN) LTD.,BNPAJPJ2XXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXOBR
BANKHAUS ERBE,WBCCRUMMXXX
MASHREQ BANK,MSHQEGCATCM
DUBUS S.A.,DUBUFR2LTRO
SUEZ CANAL BANK,SUCAEGCXASU
THE TOCHIGI BANK LTD.,TOCIJPJTXXX
ELECTRICITE DE FRANCE,EDFGFRPPBPC
CAISSE D'EPARGNE NORMANDIE,CEPAFRPP142
EGYPTIAN ARAB LAND BANK,ARLBEGCANSR
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXDMN
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXASH
BANCO BILBAO VIZCAYA ARGENTARIA,BBVAFRPPXXX
PICTET AND CIE (EUROPE) S.A. SUCCURSALE DE PARIS,PICTFRPPXXX
THE BANK OF NEW YORK MELLON  TOKYO BRANCH,IRVTJPJX848
IKB DEUTSCHE INDUSTRIEBANK A.G. SUCCURSALE DE PARIS,IKBDFRPPXXX
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPPSCM
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL024
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXCIC
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL061
BANK VTB NORTH-WEST,ICSPRU2PXXX
DBS BANK LTD  TOKYO BRANCH,DBSSJPJTXXX
ODDO ET CIE,ODDOFRPPOCO
BARCLAYS BANK - EGYPT S.A.E.,BCBIEGCX004
CENTER-INVEST CB,CCIVRU2RXXX
BANK HAPOALIM B.M.,POALUS33GTN
BANK OF AMERICA  N.A.,BOFAUS3DSG2
ARAB BANK PLC,ARABEGCXOCT
DAIWA SECURITIES CAPITAL MARKETS CO.LTD.,DWSCJPJTXXX
ARESBANK,ARESRUMMXXX
FIRST NATIONAL BANK,FNBOUS44DEN
SUEZ SA,SUFIFRPPXXX
BANCO DE BOGOTA  MIAMI AGENCY,BBOGUS3MXXX
CHUKYO BANK  LIMITED  THE,CKBKJPJNXXX
HSBC BANK (VIETNAM) LTD.,HSBCVNVX005
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2APER
AFRICAN EXPORT IMPORT BANK,AFXMEGCAXXX
SG ASSET MANAGEMENT,SGAMFRPPALT
FEDERAL BANK FOR INNOVATION AND DEVELOPMENT,FEIDRUMMXXX
INDUSTRIAL AND COMMERCIAL BANK OF CHINA  LIMITED,ICBKQAQAXXX
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPPTRM
CHINA CONSTRUCTION BANK CORPORATION TOKYO BRANCH,PCBCJPJTXXX
DANSKE BANK A/S LATVIJA BRANCH,MARALV22XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL100
UNICREDIT BANK AG (HYPOVEREINSBANK) PARIS,HYVEFRPPXXX
THE TOKYO TANSHI CO.  LTD.,TKTSJPJTXXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM014
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXALX
BANK OF INDIA,BKIDJPJTOSK
PIRAEUS BANK - EGYPT S.A.E.,ECBAEGCAXXX
BANK OF FUKUOKA  LTD.  THE,FKBKJPJTXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX004
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA082
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL022
HSBC SECURITIES EGYPT S.A.E.,HCESEGCXXXX
ODDO ET CIE,ODDOFRPPXXX
ALWATANY BANK OF EGYPT,WABAEGCXDOK
BANK SADERAT IRAN - PARIS BRANCH,BSIRFRPPXXX
ARAB INTERNATIONAL BANK,ARIBEGCX008
EGYPTIAN INVESTOR PROTECTION FUND,EIPFEGCAXXX
HORIZON SECURITY BROKERAGE COMPANY,HORZEGCAXXX
HSBC BANK (VIETNAM) LTD.,HSBCVNVXVHN
LEHMAN BROTHERS INTERNATIONAL (EUROPE) PARIS BRANCH,SLIIFRCCXXX
BANQUE MISR,BMISEGCX408
CITIBANK N.A.,CITIQAQAXXX
RBC CAPITAL MARKETS (JAPAN) LTD.  TOKYO,RBDSJPJTXXX
FAR EASTERN COMMERCIAL BANK OAO,FAECRU8KXXX
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCACAI
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL026
CREDIT SUISSE AG  TOKYO BRANCH,CRESJPJTPBS
LABCO GESTION GIE,LAGEFRPPXXX
STATE BANK OF INDIA,SBINJPJTOSA
FORTIS BANQUE FRANCE,BPARFRPPXXX
BNP PARIBAS VIETNAM - HO CHI MINH CITY BRANCH,BNPAVNVNXXX
COMMERCIAL BANK -LANTA-BANK',COLKRUMMXXX
GENERAL ELECTRIC COMPANY,GENEUS33DBL
DAIWA SECURITIES CAPITAL MARKETS CO.LTD.,DWSCJPJTEQU
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTKOB
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAMAL
CHANG HWA COMMERCIAL BANK LTD.  TOKYO BRANCH,CCBCJPJTXXX
AIB BANK,AIBKUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL065
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCAALX
CHARLES SCHWAB AND CO.  INC.,CSCHUS6SWTS
SHINSEI BANK  LTD.,LTCBJPJTXXX
ARAB BANK PLC,ARABEGCXAMN
ALWATANY BANK OF EGYPT,WABAEGCXZAY
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX028
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2ANIC
BM SOFTWARE,BMSOFR22XXX
HSBC FRANCE,CCFRFRPP120
IMERYS SA,IMERFRPPXXX
JASON INFORMATIQUE,JASOFR2PXXX
EGYPTIAN GULF BANK,EGGBEGCAHEL
NOMURA RESEARCH INSTITUTE  LTD.,NRIWJPJTXXX
BANK TROIKA DIALOG,TDBKRUMMXXX
CJSC BANK CREDIT SUISSE (MOSCOW),CRESRUMMXXX
CASDEN-BANQUE POPULAIRE,CCBPFRPPCAS
FIDELITY SERVICE CO,FIDQUS3BXXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXHEG
BANCO DO BRASIL S.A.,BRASJPJTXXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM004
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX580
BANK AUDI SARADAR FRANCE,AUDIFRPPXXX
CREDIT AGRICOLE CHEUVREUX,CHVIFRPPBOF
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CTL
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX029
CAISSE D'EPARGNE DE MIDI PYRENEES,CEPAFRPP313
BANQUE ALGERIENNE DE DEVELOPPEMENT,BADZDZALXXX
CRC MARIT MUTUEL DU LITTORAL SUD OUEST,CCBPFRPP169
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL089
CREDIT EUROPE BANK LTD,FMOSRUMMXXX
SG ASSET MANAGEMENT,SGAMFRPPADO
THALES SA,TCSFFRPPXXX
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKVNVXXXX
EUROCLEAR FRANCE SA,ESESFRPPT2X
DAISHI BANK LTD. THE,DAISJPJTXXX
MTS FRANCE SAS,FMTSFRPPXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCAXXX
EL HORREYA SECURITIES BROKERAGE CO.,HRIAEGCAXXX
DUBUS S.A.,DUBUFR2LXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX024
CNP ASSURANCES,CNPAFRPPXXX
SPARX ASSET MANAGEMENT CO.  LTD.,SPAXJPJTXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXCAI
ARAB INVESTMENT BANK,AINBEGCASHB
BANCO DAVIVIENDA S.A.,CAFEUS3MXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAMOH
QATAR TELECOM (QTEL) Q.S.C,QTELQAQAXXX
DEXIA MUNICIPAL AGENCY PARIS,DXMAFRPPXXX
KOREA EXCHANGE BANK,KOEXFRPPXXX
BANGKOK BANK PCL,BKKBVNVXHAN
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL037
BANCO BRADESCO S.A.,BBDEUS33XXX
NATIXIS,CCBPFRPPPAR
GOLDMAN  SACHS AND CO.,GOLDUS33002
FINANCIAL BROKERAGE GROUP (FBG),EFGHEGCAAMO
CHELINDBANK,CHLBRU4C743
HSBC BANK EGYPT,EBBKEGCXXXX
NATIONAL BANK OF EGYPT,NBEGEGCXXXX
CREDIT AGRICOLE CIB,BSUIFRPPXXX
AGROIMPULS JOINT STOCK COMMERCIAL BANK,JSCGRU2VXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCALUX
CAPITAL ONE  N.A.,NFBKUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL002
MISR IRAN DEVELOPMENT BANK,MIDBEGCXPTS
INDUSTRIAL BANK OF KOREA  HOCHIMINH BRANCH,IBKOVNVXXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44ASA
1ST ENTERPRISE BANK,FEBKUS6LXXX
NOMURA ASSET MANAGEMENT CO.  LTD.,NAMKJPJTFDV
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL068
AL ZAMAN EXCHANGE W.L.L,ALZAQAQAXXX
BANCFIRST,BFOKUS44XXX
ALJBA ALLIANCE,ALALRUMMXXX
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPASI
ALWATANY BANK OF EGYPT,WABAEGCXGAL
BANK KHOVANSKIY,KHOVRUMMXXX
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA03B
BLOM BANK EGYPT S.A.E.,MRBAEGCX013
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA0AL
BRED BANQUE POPULAIRE,BREDFRPP637
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL017
NATIXIS,CCBPFRPP888
THE BANK OF NEW YORK MELLON  TOKYO BRANCH,IRVTJPJXXXX
FIDELITY SERVICE CO,FIDQUS33XXX
THE ROOTS STOCK-BROKERAGE HOUSE,ROOTEGCAXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44ARG
CAPITAL RESEARCH AND MANAGEMENT COMPANY,CRMCUS66XXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX020
COMMERZBANK AG TOKYO,COBAJPJXTOM
LA BANQUE POSTALE,PSSTFRPPLIM
CREDIT AGRICOLE CIB,BSUIFRPPNAN
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA048
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXSMH
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44EHC
NILEONE BROKERS,NIBOEGCAXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA084
LA BANQUE POSTALE,PSSTFRPPCNE
MISR IRAN DEVELOPMENT BANK,MIDBEGCXXXX
SUEZ CANAL BANK,SUCAEGCXDOK
EUROAXIS BANK JOINT STOCK COMMERCIAL BANK,EABMRUMMXXX
SOCIETE GENERALE PRIVATE BANKING (JAPAN) LTD.,SGTBJPJTENQ
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AAIX
LA BANQUE POSTALE,PSSTFRPPLYO
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXDOK
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXMNS
BNP PARIBAS LE CAIRE,BNPAEGCXGAR
BANCOMER TRANSFER SERVICES INC.,BTSIUS44XXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FIF
CJSC -WELCOMEBANK',PYATRU2PXXX
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX613
BALTIK DEVELOPMENT BANK,BADJRUMMVLD
HSBC FRANCE,BHVTFRPPXXX
NATIXIS,CCBPFRPPPAI
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL034
TREASURY OF THE REPUBLIC OF LATVIA  THE,TRELLV22XXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL050
OKASAN SECURITIES CO.  LTD.,OKASJPJTXXX
CAISSE D'EPARGNE DE POITOU CHARENTES,CEPAFRPP864
AGF ASSET MANAGEMENT,AGFMFRPPPVS
BARCLAYS CAPITAL LIMITED LIABILITY COMPANY,BARCRU2MXXX
BANK OF ALEXANDRIA S A E,ALEXEGCX002
ALTICOR INC,AMWYUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL033
BANQUES POPULAIRES PARTICIPATIONS,HLBPFRPPXXX
SAARLB FRANCE,SALAFR2MXXX
BANQUE BIA,BIARFRPPXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAARI
EXIMBANK OF RUSSIA,EXIRRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL058
AMAGASAKI SHINKIN BANK  THE,AMASJPJZXXX
ARAB BANK PLC,ARABEGCXHGZ
EGYPTIAN GULF BANK,EGGBEGCALGS
GE FACTOFRANCE,FACFFRPPXXX
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,EFALFRPPXXX
QATAR INVESTMENT AUTHORITY,GQICQAQAXXX
NATIXIS,CCBPFRPP926
DA AFGHANISTAN BANK,AFGBAFKAXXX
BAIN AND COMPANY INC,BAOYUS33XXX
FIRST REPUBLIC BANK  A BANK IN ORGANIZATION,FRBBUS6SXXX
FORTIS BANK SA/NV  PARIS BRANCH,GEBAFRPPXXX
HOUSING DEVELOPMENT COMMERCIAL J.S. BANK - HCMC,HDBCVNVX008
AVTOVAZBANK OPEN JOINT-STOCK COMPANY,AVBKRU3TXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCASHM
STATE STREET TRUST AND BANKING COMPANY LIMITED,SSTBJPJXIAR
BANQUE MISR,BMISEGCXXXX
ARAB INVESTMENT BANK,AINBEGCAKOR
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL102
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCACCP
COFIDIS,CFFIFR2LXXX
AL KHALIJ COMMERCIAL BANK,KLJIQAQAIBB
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL086
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44MDX
ODDO ET CIE,ODDOFRPAXXX
STATE BANK OF INDIA  QATAR FINANCIAL CENTRE BRANCH,SBINQAQAXXX
1ST UNITED BANK,HEMSUS3MXXX
CREDIT COMMERCIAL DE FRANCE,CCFRFRCRXXX
B AND N BANK (JOINT-STOCK COMPANY),BINORUMMXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX023
STANDARD CHARTERED BANK,SCBLQAQXQFC
CAISSE D'EPARGNE RHONE ALPES,CEPAFRPP382
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA064
HSBC FRANCE,CCFRFRPP152
CAISSE D'EPARGNE DE LORRAINE CHAMPAGNE-ARDENNE,CEPAFRPP513
FBN BANK UK LTD,FBNIFRPPXXX
GALLIARD CAPITAL MANAGEMENT  INC,WFBIUS44XXX
