bank,city,branch,swiftcode
EGYPTION EMIRATIES BROKERAGE,GIZA,,EEBCEGCAXXX
ALMAZERGIENBANK,YAKUTSK,,ALMZRU8YXXX
MASHREQ BANK,CAIRO,,MSHQEGCAXXX
BANQUE DE GESTION PRIVEE-SIB,PARIS,,SIBLFRPPTRM
SUEZ CANAL BANK,THE TENTH OF RAMADAN,(THE TENTH OF RAMADAN BRANCH),SUCAEGCXRAM
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,,ARAIEGCXDOC
BFA BANK,ST. PETERSBURG,,PETKRU2PXXX
KBC BANK NV PARIS,PARIS,,KREDFRPP416
BANK SADERAT IRAN - PARIS BRANCH,PARIS,,BSIRFRPPXXX
AGRICULTURAL BANK OF CHINA NEW YORK BRANCH,"NEW YORK,NY",,ABOCUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BLIDA,(AGENCE BLIDA),BEXADZAL024
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(DOKKI ISLAMIC BRANCH),NBDEEGCXDKI
ARAB INVESTMENT BANK,CAIRO,(HELIOPOLIS BRANCH),AINBEGCAHEL
AVANGARD BANK,MOSCOW,,AVJSRUMMXXX
CAISSE D'EPARGNE BRETAGNE PAYS DE LOIRE,NANTES,,CEPAFRPP444
EGYPTIAN ARAB LAND BANK,GIZA,,ARLBEGCAXXX
LA BANQUE POSTALE,STRASBOURG,,PSSTFRPPSTR
CREDIT COOPERATIF,NANTERRE,,CCOPFRCPXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,CAIRO,,BDACEGCAXXX
"BANK OF THE RYUKYUS, LTD.",NAHA,,RYUBJPJZXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(ASA),CITGUS44ASA
"BANK OF AMERICA, N.A.","CHARLOTTE,NC","(BANK OF AMERICA, AUSTRALIA BRANCH)",BOFAUS3DAUS
NATIONAL BANK OF ABU DHABI,CAIRO,(ABBAS AL AKAAD BRANCH - NASR CITY),NBADEGCAAKD
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,ZAKAZIK,(EL SHARKIA BRANCH),BDACEGCA055
SUEZ CANAL BANK,ALEXANDRIA,(SMOHA BRANCH),SUCAEGCXSMH
LA BANQUE POSTALE,ORLEANS,,PSSTFRPPSCE
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CFD
AIB BANK,"NEW YORK,NY",,AIBKUS33XXX
NATIONAL BANK OF PAKISTAN,PARIS,,NBPAFRPPXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,TANTA,(EL GHARBIA BRANCH),BDACEGCA040
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HAIPHONG,(HAIPHONG BRANCH),BIDVVNVX321
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE BEN M'HIDI),BEXADZAL015
AHLI UNITED BANK (EGYPT) S.A.E.,PORT SAID,(PORT SAID BRANCH),DEIBEGCX621
"AEGON USA INVESTMENT MANAGEMENT, LLC","CEDAR RAPIDS,IA",,AEGUUS44XXX
BNP PARIBAS EQUITIES FRANCE,PARIS,,DBZEFRPPXXX
MIRAGE BROKERAGE,GIZA,,MIRAEGCAXXX
BANCO DE SABADELL,PARIS,,BSABFRPPXXX
CREDIT COOPERATIF,NANTERRE,,CCOPFRPPXXX
CREDIT AGRICOLE CIB,LYON,,BSUIFRPPLYO
ARAB AFRICAN INTERNATIONAL BANK,6TH OF OCTOBER,(6TH OCTOBER BRANCH),ARAIEGCXOCT
ELBIN BANK,MAKHACHKALA,,ELBIRU22XXX
NATIXIS INTEREPARGNE,PARIS,,CCBPFRPPNIE
ODDO ET CIE,PARIS,,ODDOFRPPOOP
"BANK OF COMMUNICATIONS, TOKYO BRANCH",TOKYO,,COMMJPJTXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44HLP
SUEZ CANAL BANK,BOURG EL ARAB,(BOURG EL ARAB BRANCH),SUCAEGCXBRG
"RESONA BANK, LTD., TOKYO",TOKYO,,DIWAJPJTXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,PORT SAID,(ISLAMIC BRANCH),SBNKEGCXISL
AS UNICREDIT BANK,RIGA,,VBRILV2XXXX
NATIXIS,TOULOUSE,,CCBPFRPP931
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",OSAKA,,BOTKJPJTOSA
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(MOHANDESSIN BRANCH),DEIBEGCX083
ARAB BANKING CORPORATION - ALGERIA,ALGIERS,,ABCODZALXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44MMF
BANK OF KHANTY-MANSIYSK OAO,MEGION,(MEGION BRANCH),KHANRUMM015
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FOH
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,GIA LAI,(GIA LAI BRANCH),BFTVVNVX029
VTB BANK (FRANCE) S.A.,PARIS,,EUROFRPPXXX
BANKHAUS ERBE,MOSCOW,,WBCCRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(EL MOURADIA),BEXADZAL102
LA BANQUE POSTALE,BORDEAUX,,PSSTFRPPBOR
BOISSIERE FINANCE,RUEIL MALMAISON,,SCHNFR22XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BAC NINH,(BAC NINH BRANCH),BIDVVNVX432
ARAB AFRICAN INTERNATIONAL BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),ARAIEGCXALX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIEN HOA,(DONG NAI BRANCH),BIDVVNVX670
"RBC CAPITAL MARKETS (JAPAN) LTD., TOKYO",TOKYO,,RBDSJPJTXXX
DEXIA ASSET MANAGEMENT,PARIS,,DXAMFRPPXXX
DAIWA SB INVESTMENTS LTD,TOKYO,,DSBIJPJTXXX
BANK OF INDIA,PARIS,,BKIDFRPPXXX
CHINA CONSTRUCTION BANK NEW YORK BRANCH,"NEW YORK,NY",,PCBCUS33XXX
BNP PARIBAS SECURITIES (JAPAN) LTD.,TOKYO,,BNPAJPJ2XXX
"SBI SUMISHIN NET BANK, LTD.",TOKYO,,NTSSJPJTXXX
CHINATRUST BANK (USA),"TORRANCE,CA",,CTHCUS66XXX
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPSBL
CITIGROUP GLOBAL MARKETS JAPAN INC.,TOKYO,,NSBLJPJTXXX
BANQUE EXTERIEURE D'ALGERIE,SETIF,(AGENCE EL EULMA),BEXADZAL087
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,DAC LAC,(DAC LAC BRANCH),BIDVVNVX631
EGYPTIAN GULF BANK,CAIRO,(BILLS CENTER),EGGBEGCABLS
FBN BANK UK LTD,PARIS,,FBNIFRPPXXX
CANTOR FITZGERALD AND CO.,"NEW YORK,NY",,CANFUS33CPB
LYXOR ASSET MANAGEMENT,PARIS,,LAMXFRPPXXX
BANCO SANTANDER S.A.,PARIS,,BSCHFRPPXXX
BRED BANQUE POPULAIRE,PARIS,,BREDFRPP638
PRIZMA SECURITIES COMPANY,CAIRO,,PRSEEGCAXXX
CAISSE D'EPARGNE DE BOURGOGNE FRANCHE-COMTE,DIJON,,CEPAFRPP213
"NORTH PACIFIC BANK, LTD.",SAPPORO,,NORPJPJPXXX
FIRST COMMERCIAL BANK (USA),"ALHAMBRA,CA",,FCBCUS6LXXX
FIRST TENNESSEE BANK N.A.,"CHATTANOOGA,TN",,FTBMUS44CHA
BELTONE SECURITIES BROKERAGE S.A.E,CAIRO,,BELTEGCAXXX
EGYPTIAN GULF BANK,CAIRO,,EGGBEGCAXXX
"SAN-IN GODO BANK, LTD., THE",MATSUE,,SGBKJPJTXXX
BANCA INTESA ZAO MOSCOW,MOSCOW,,BCITRUMMXXX
HSBC PRIVATE BANK FRANCE,PARIS,,BLICFRPXXXX
CAISSE DES DEPOTS ET CONSIGNATIONS,PARIS,,CDCGFRPPXXX
BANCO LATINOAMERICANO DE COMERCIO EXTERIOR S.A.,"NEW YORK,NY",,BLAEUS3XXXX
FIRST GENERAL BANK,"ROWLAND HEIGHTS,CA",,FGBCUS66XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CCL
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",(TREASURY MGMT. SYSTEM),FCNYUS33TMS
EUROTRUST CB ZAO,MOSCOW,,CEURRUMMXXX
QATAR NATIONAL BANK,DOHA,,QNBAQAQAXXX
DEXIA MUNICIPAL AGENCY PARIS,PARIS,,DXMAFRCCXXX
ALWATANY BANK OF EGYPT,ALEXANDRIA,(ALEXANDRIA BRANCH),WABAEGCXALX
ARAB INTERNATIONAL BANK,CAIRO,(NASR CITY BRANCH),ARIBEGCX004
CHOLET DUPONT SA,PARIS,,CHDUFRPPXXX
LA BANQUE POSTALE,MARSEILLE,,PSSTFRPPMAR
BLOM BANK EGYPT S.A.E.,CAIRO,(ZAMALEK BRANCH),MRBAEGCX002
EFG BANQUE PRIVEE,PARIS,,EFGBFRPPXXX
DEXIA CREDIT LOCAL,PARIS,,CLFRFRPPXXX
PROCAPITAL SA,PARIS,,PROCFRPPPCB
ELECTRO BANQUE,PARIS,,ELBAFRPPXXX
EL TADAMOUN EL ARABI BROKERAGE COMPANY,GIZA,,TDAREGCAXXX
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(GIZA  DOKKI BRANCH),DEIBEGCX024
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CGA
ARAB AFRICAN INTERNATIONAL BANK,TANTA,,ARAIEGCXTNT
CITY EXCHANGE CO. W.L.L,DOHA,,CECQQAQAXXX
"COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE, LA",PARIS,,COFIFRPPRAM
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",(BANK OPERATIONS),FCNYUS33FID
BANCO DO BRASIL S.A,"MIAMI,FL",,BRASUS3MXXX
CAISSE DES DEPOTS ET CONSIGNATIONS,PARIS,,CDCGFRPPPAC
HABIB BANK LIMITED,KABUL,,HABBAFKAXXX
AHLI UNITED BANK (EGYPT) S.A.E.,EL MENIA,(EL MENIA BRANCH),DEIBEGCX718
BANQUE EXTERIEURE D'ALGERIE,BECHAR,(AGENCE BECHAR),BEXADZAL071
EGYPTIAN ARAB LAND BANK,CAIRO,(HELIOPOLIC BRANCH),ARLBEGCAHIL
ABB BANK,MOSCOW,,CMABRUMMXXX
BNP PARIBAS ARBITRAGE,PARIS,,BNABFRPPOST
DEPFA BANK PLC,TOKYO,(TOKYO BRANCH),DPFAJPJTXXX
NATIXIS,RENNES,,CCBPFRPP948
"BANK OF NOVA SCOTIA,THE",TOKYO,,NOSCJPJTXXX
CORTAL CONSORS FRANCE,RUEIL MALMAISON,,BCRTFRPPXXX
ALWATANY BANK OF EGYPT,SOHAG,(SOHAG BRANCH),WABAEGCXSOH
ALWATANY BANK OF EGYPT,ALEXANDRIA,(ZEZINYA BRANCH),WABAEGCXZIZ
BANK ORENBURG OAO,ORENBURG,,ORBGRU3SXXX
EGYPTIAN SAUDI FINANCE BANK,GIZA,(KING FAISAL BRANCH),TAMSEGCAFSL
EGYPTIAN SAUDI FINANCE BANK,GIZA,(MOHYEE ELDIN ABOU EL EZZ BRANCH),TAMSEGCAEZZ
UNION DE BANQUES ARABES ET FRANCAISES,NEUILLY SUR SEINE,,UBAFFRPPXXX
ABE CLEARING SAS/EBA CLEARING,PARIS,,EBAPFRPPPSA
BLOM BANK EGYPT S.A.E.,GIZA,,MRBAEGCBXXX
NATIONAL POST ORGANIZATION,CAIRO,,PSTEEGCXXXX
NATIONAL BANK FOR DEVELOPMENT,CAIRO,,NBDEEGCXXXX
BFT - BANQUE DE FINANCEMENT ET DE TRESORERIE SA,PARIS,,BFTRFRPPXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,CAN THO,(CAN THO BRANCH),BIDVVNVX741
"JPMORGAN CHASE BANK, N.A.",PARIS,,CHASFRPPXXX
"MEDICAPITAL BANK PLC, SUCCURSALE EN FRANCE",PARIS,,BMCEFRPPXXX
FIRST NATIONAL BANK,"NORTH PLATTE,NE",,FNBOUS44PLA
DLALA BROKERAGE LLC,DOHA,,DLBOQAQAXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44DFP
CREDIT AGRICOLE CIB TOKYO BRANCH,TOKYO,,BSUIJPJTXXX
LAMINES MARCHANDS EUROPEENS,TRITH SAINT LEGER,,LMEFFR22XXX
COMPAGNIE DE SAINT-GOBAIN,COURBEVOIE,,SGOBFRPPXXX
FIRST BANK OF MIAMI,"CORAL GABLES,FL",,FBOMUS3MXXX
KBL RICHELIEU BANQUE PRIVEE,PARIS,,KBLXFRPPXXX
"BANK OF NOVA SCOTIA,THE",CAIRO,,NOSCEGCAXXX
CREDIT AGRICOLE EGYPT,CAIRO,(HEAD OFFICE),AGRIEGCXXXX
CREDIT SUISSE SECURITIES (JAPAN) LTD.,TOKYO,,CSFBJPJXEQT
EGYPTIAN ARAB LAND BANK,6TH OF OCTOBER,,ARLBEGCAOCT
BUSINESS DEVELOPMENT BANK,MOSCOW,,BDBMRUMMXXX
ARAB INTERNATIONAL BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),ARIBEGCX002
EXPORT DEVELOPMENT BANK OF EGYPT,ALEXANDRIA,(ROSHDY BRANCH),EXDEEGCXRSH
BANQUE EXTERIEURE D'ALGERIE,ORAN,(AGENCE ORAN),BEXADZAL074
SOFIPROTEOL,PARIS,,SOFRFRPPXXX
ARAB INTERNATIONAL BANK,CAIRO,(HELIOPOLICE BRANCH),ARIBEGCX005
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(THE CCP FOR THE RTGS),CBEGEGCXCCP
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CCO
ARAB INTERNATIONAL BANK,CAIRO,,ARIBEGCXXXX
BLOM BANK EGYPT S.A.E.,CAIRO,(KHALIFA ALMAAMOUN),MRBAEGCX022
BCS BANK,NOVOSIBIRSK,,BCSBRU55XXX
NATIONAL BANK OF ABU DHABI,CAIRO,(EL OBOUR CITY BRANCH),NBADEGCAOBR
OSOOL ESB FOR SECURITIES BROKERAGE,CAIRO,,OSOLEGCAXXX
ARAB BANKING CORPORATION EGYPT,CAIRO,(MOHANDESEEN BRANCH),EAABEGCX005
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,DA NANG,(DA NANG CITY BRANCH),BIDVVNVX561
DELTACREDIT CB ZAO,MOSCOW,,DETARUMMXXX
ARAB BANK PLC,CAIRO,(CAIRO BRANCH),ARABEGCXCAI
ARAB BANKING CORPORATION EGYPT,CAIRO,,EAABEGCXXXX
FACTOBAIL,PARIS,,FACIFRPPXXX
AIB BANK,"NEW YORK,NY",(TREASURY DEPT),AIBKUS3TTMK
AHLI BANK Q.S.C.,DOHA,(MAIN BRANCH),ABQQQAQAXXX
BANCO DO BRASIL S.A.,TOKYO,,BRASJPJTXXX
QATAR INVESTMENT AUTHORITY,DOHA,,GQICQAQAXXX
HALWAN BROKERAGE CO.,CAIRO,,HELWEGCAXXX
MISR IRAN DEVELOPMENT BANK,CAIRO,(NASR CITY BRANCH),MIDBEGCXNSR
BANGKOK BANK PCL,HO CHI MINH CITY,(HO CHI MINH BRANCH),BKKBVNVXXXX
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",TOKYO,(SECURITIES SERVICES DIVISION),BOTKJPJTSAD
EGYPTIAN SAUDI FINANCE BANK,CAIRO,(HEAD OFFICE),TAMSEGCAXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CAA
ALWATANY BANK OF EGYPT,CAIRO,(CORNISH BRANCH),WABAEGCXCOR
"BANCO BPI, PARIS",PARIS,,BBPIFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE DELY IBRAHIM),BEXADZAL090
RBC DEXIA INVESTOR SERVICES BANK FRANCE,PARIS,,DISFFRPPXXX
FISHER INVESTMENTS,"WOODSIDE,CA",,FSHRUS66XXX
EURONEXT PARIS S.A.,PARIS,,XPARFRPPLIS
FORTIS BANQUE FRANCE,PUTEAUX,,BPARFRPPXXX
ARAB BANK PLC,CAIRO,(NASR BRANCH),ARABEGCXNSR
BANQUE POPULAIRE DU SUD-OUEST,BORDEAUX,,CCBPFRPPBDX
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(EL OPERA BRANCH),NBDEEGCXOPR
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(HELIOPOLIS COMMERCIAL BRANCH),NBDEEGCXHLC
LEADERS,GIZA,,LEADEGCAXXX
ARAB BANK PLC,CAIRO,(CENTRAL OPERATION UNIT),ARABEGCXCOU
BANQUE SOCIETE GENERALE VOSTOK,ST. PETERSBURG,(ST. PETERSBURG BRANCH),SOGERUMMSPB
EGYPT STOCKS,GIZA,,EGSTEGCAXXX
EGYPTIAN ARAB LAND BANK,EL MENIA,,ARLBEGCAMIN
EGYPTIAN KUWAITI SECURITIES COMPANY,CAIRO,,EGKUEGCAXXX
F.B.F. (FORTIS BANQUE FRANCE),PUTEAUX,,RUBBFRPPXXX
ARAB BANK PLC,CAIRO,(EL-GOMHORIA BRANCH),ARABEGCXGMH
UNION NATIONAL BANK-EGYPT S.A.E.,SUEZ,(SUEZ BRANCH),ALECEGALSUZ
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CDT
BANK INVESTBANK -CENTRAL' BRANCH,MOSCOW,,CONVRUMMXXX
NATIXIS,PARIS,,NATXFRPPMAR
ABE CLEARING SAS/EBA CLEARING,PARIS,,EBAPFRPPBAS
ALWATANY BANK OF EGYPT,CAIRO,(HEAD OFFICE),WABAEGCXXXX
CENTRAL BANK OF EGYPT CAIRO,ALEXANDRIA,(ALEXANDRIA BRANCH),CBEGEGCXALX
HSBC BANK EGYPT,CAIRO,,EBBKEGCXXXX
THE ROYAL BANK OF SCOTLAND N.V. (FRANCE),PARIS,,ABNAFRPPXXX
COMMERCIAL BANK OF INDIA OOO,MOSCOW,,CODLRUMMXXX
BARCLAYS CAPITAL JAPAN LTD.,TOKYO,,BARCJPJ9XXX
"RBS SECURITIES JAPAN LIMITED, TOKYO BRANCH",TOKYO,,NWSJJPJTXXX
BANQUE POP CENTRE ATLANTIQUE,NIORT,,CCBPFRPPNIO
SUEZ CANAL BANK,CAIRO,(MOHANDESSEEN BRANCH),SUCAEGCXMOH
DEUTSCHE BANK AG,PARIS,,DEUTFRPPSEC
BANK VTB NORTH-WEST,ST. PETERSBURG,,ICSPRU2PXXX
HSBC BANK PLC,PARIS,,MIDLFRCPXXX
HSBC FRANCE,CANNES,,CCFRFRPP222
FAISAL ISLAMIC BANK OF EGYPT,EL ZAGAZIG,,FIEGEGCXZAG
GHAZANFAR BANK,KABUL,,GHBKAFKAXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44RLP
ARAB BANK PLC,CAIRO,(SHOUBRA BRANCH),ARABEGCXSHO
"SHIZUOKA BANK, LTD., THE",SHIZUOKA,,SHIZJPJTXXX
"AMERICAN EXPRESS TRAVEL RELATED SERVICES CO.,INC. (TRAVELERS CHEQUE OPER.CTR.)","SALT LAKE CITY,UT",,AETCUS55XXX
"BANCO BILBAO VIZCAYA ARGENTARIA, NEW YORK","NEW YORK,NY",,BBVAUS33XXX
BANQUE EXTERIEURE D'ALGERIE,SETIF,(AGENCE SETIF),BEXADZAL036
EGYPTIAN SAUDI FINANCE BANK,GIZA,(MOHANDSEEN BRANCH),TAMSEGCAMOH
BANK OF ALEXANDRIA S A E,CAIRO,(SHERIF BRANCH),ALEXEGCX003
EURONEXT PARIS S.A.,PARIS,,XPARFRPPINT
CAISSE D'EPARGNE NORD FRANCE EUROPE,LILLE,,CEPAFRPP627
CREDIT MUTUEL - CIC BANQUES,PARIS,,CMCIFRPAXXX
"FAR EAST NATIONAL BANK, HO CHI MINH CITY BRANCH",HO CHI MINH CITY,,FENBVNVXXXX
SUEZ CANAL BANK,CAIRO,(GARDEN CITY BRANCH),SUCAEGCXGRD
FAISAL ISLAMIC BANK OF EGYPT,EL MANSOURA,(AL MANSOURA BRANCH),FIEGEGCXMNS
BANQUE EXTERIEURE D'ALGERIE,CHLEF,(AGENCE DE CHLEF),BEXADZAL068
NATIONAL BANK OF ABU DHABI,CAIRO,(TFO ),NBADEGCATFO
AL ZAMAN EXCHANGE W.L.L,DOHA,,ALZAQAQAXXX
ARAB BANK PLC,CAIRO,(HELIOPOLIS BRANCH),ARABEGCXHEL
BARCLAYS BANK - EGYPT S.A.E.,ALEXANDRIA,(ALEXANDRIA BRANCH),BCBIEGCX003
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(MAADI BRANCH),DEIBEGCX059
BNP PARIBAS ARBITRAGE,PARIS,,BNABFRPPOTC
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(BACK OFFICE FOR DEALING ROOM),CBEGEGCXBKO
UNICREDITO ITALIANO SPA - SUCCURSALE DE PARIS,PARIS,,UNCRFRPPXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SUEZ,,SBNKEGCXSUZ
ARAB INVESTMENT BANK,CAIRO,(SHOUBRA BRANCH),AINBEGCASHB
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(ATA),CITGUS44ATA
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,CAIRO,(BRANCH),DIBBEGCA0C3
SUEZ CANAL BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),SUCAEGCXALX
ARAB BANK PLC,CAIRO,(ZAMALEK BRANCH),ARABEGCXZMK
"CREDIT SUISSE (FRANCE), PARIS",PARIS,,CRESFRPPXXX
"NOMURA ASSET MANAGEMENT CO., LTD.",TOKYO,,NAMKJPJTXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,DOMIAT,,SBNKEGCXDMT
BANCO DO BRASIL S.A.,PARIS,,BRASFRPPXXX
HSBC BANK (VIETNAM) LTD.,DA NANG,,HSBCVNVX005
OSEO GARANTIE,MAISONS ALFORT,,SFGFFRCPXXX
ARAB BANKING CORPORATION EGYPT,THE TENTH OF RAMADAN,(TENTH OF RAMADAN BRANCH),EAABEGCX015
INTERCAPITAL SECURITIES,CAIRO,,INCUEGC1XXX
"RESONA BANK, LTD., TRUST DEP.",TOKYO,,DIWAJPJAXXX
"AMB PROPERTY, L.P.","SAN FRANCISCO,CA",,AMBCUS6LXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44OFD
CREDIT DU NORD,LILLE,,NORDFRPPXXX
ODDO ET CIE,PARIS,,ODDOFRPPOCO
FAISAL ISLAMIC BANK OF EGYPT,TANTA,(TANTA BRANCH),FIEGEGCXTAN
BNP PARIBAS LE CAIRE,CAIRO,,BNPAEGCXXXX
BANQUE EXTERIEURE D'ALGERIE,BLIDA,(OULED YAICH),BEXADZAL112
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BUON MA THUOT,(DAK LAK BRANCH),BFTVVNVX023
1ST ENTERPRISE BANK,"LOS ANGELES,CA",,FEBKUS6LXXX
DAIWA SECURITIES CAPITAL MARKETS CO.LTD.,TOKYO,(JAPANESE SECURITIES SETTLEMENTS),DWSCJPJTJSS
SOCIETE ARABE INTERNATIONALE DE BANQUE,ALEXANDRIA,,SBNKEGCXSMH
CANTOR FITZGERALD AND CO.,"NEW YORK,NY",,CANFUS33ITD
MONTE PASCHI BANQUE S.A.,CANNES,,MONTFRPPCAN
COMMERCIAL BANK -SOVINCOM',MOSCOW,,BSOVRUMMXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,CAN THO,(CAN THO BRANCH),BFTVVNVX011
ARAB INTERNATIONAL BANK,CAIRO,(HEAD OFFICE),ARIBEGCX001
BNP PARIBAS ASSET MANAGEMENT,PARIS,,PARBFRPMXXX
SUMITOMO MITSUI BANKING CORPORATION,OSAKA,,SMBCJPJTOSA
FIRST DATA CORPORATION,"GREENWOOD VILLAGE,CO",,FDUSUS55XXX
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(CBE AS AN ASA TEST AND TRAINNING),CBEGEGCAASA
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,DAMANHOUR,(EL BEHERA BRANCH),BDACEGCA045
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CCD
ALWATANY BANK OF EGYPT,THE TENTH OF RAMADAN,(THE TENTH OF RAMADAN BRANCH),WABAEGCXRAM
CREDIT COMMERCIAL DU SUD-OUEST,MERIGNAC,,CCBPFRPP555
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CGM
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(CAU GIAY BRANCH),BIDVVNVX215
ALWATANY BANK OF EGYPT,CAIRO,(NASR CITY BRANCH),WABAEGCXNCT
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,QUANG NINH,(QUANG NINH BRANCH),BIDVVNVX440
BANK TEJARAT,PARIS,,BTEJFRPPXXX
CJSC -WELCOMEBANK',PYATIGORSK,,PYATRU2PXXX
HOUSING AND DEVELOPMENT BANK,CAIRO,(MAIN BRANCH),HDBKEGCAZAM
SUEZ CANAL BANK,CAIRO,(NASR CITY BRANCH),SUCAEGCXNSR
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(BAB EL LOUK BRANCH),NBDEEGCXBLQ
CAISSE D'EPARGNE NORMANDIE,CAEN,,CEPAFRPP142
BANK MELLI IRAN,PARIS,,MELIFRPPXXX
FINANCIERE D'UZES,PARIS,,UZESFRCPXXX
EXIMBANK OF RUSSIA,MOSCOW,,EXIRRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,SAIDA,(AGENCE SAIDA),BEXADZAL061
"AOMORI BANK LTD., THE",AOMORI,,AOMBJPJTXXX
BANQUE POPULAIRE ATLANTIQUE,NANTES,,CCBPFRPPNAN
FISCHER FRANCIS TREES AND WATTS INC.,"NEW YORK,NY",,FFTWUS33XXX
NATIXIS,PARIS,,CCBPFRPP901
CB -ROSPROMBANK' CO. LTD,MOSCOW,,TERARUMMXXX
EAST-EUROPEAN TRUST BANK,MOSCOW,,ETRURUMMXXX
ARAB INVESTMENT BANK,CAIRO,(NASR CITY),AINBEGCANSR
ARAB INVESTMENT BANK,CAIRO,(FAISAL BRANCH),AINBEGCAFSL
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HO CHI MINH CITY,(TRANSACTION CENTER NO. 2),BIDVVNVX130
EUROPE ARAB BANK PLC,PARIS,,ARABFRPPXXX
CREDIT AGRICOLE CIB,NANTES,,BSUIFRPPNAN
ELECTRICITE DE FRANCE,PARIS,,EDFGFRPPBPC
CENTRAL BANK OF RUSSIAN FEDERATION,MOSCOW,,CBRFRUMMXXX
