bank,substring
SVENSKA HANDELSBANKEN AB,HANDFRPP
FREDDIE MAC,FMACUS3W
AN BINH COMMERCIAL JOINT STOCK BANK,ABBKVNVX
FAURECIA,FAURFRPP
BANCFIRST,BFOKUS44
CAISSE CENTRALE DU CREDIT IMMOBILIER DE FRANCE,CCIFFRPP
"CREDIT SUISSE AG, PARIS BRANCH",CRESFRPZ
GRAND INVESTMENT SECURITIES,GRICEGCA
"THE BANK OF KOCHI, LIMITED",KOTIJPJZ
AMUNDI ASSET MANAGEMENT,AGRIFRPI
CISCO SYSTEMS INC,CSCOUS66
TADAWOL SECURITIES BROKERAGE CO.,TADLEGCA
BANK OF MOSCOW,MOSWRUMM
WESTLB AG PARIS,WELAFRPP
FISHER INVESTMENTS,FSHRUS66
MUBASHER TRADE,MUBREGCA
SAUDI EGYPTION CO. FOR SECURITIES BROKERAGE,SEFTEGCA
DELTACREDIT CB ZAO,DETARUMM
"HUA NAN COMMERCIAL BANK, LTD. HOCHIMINH CITY BRANCH",HNBKVNVX
BARWA BANK,BRWAQAQA
PANASONIC CORPORATION,PANAJPJS
HOUSING BANK OF MEKONG DELTA (MHB)-HEAD OFFICE,MHBBVNVX
SAMBA FINANCIAL GROUP,SAMBQAQA
CREDIT MUTUEL,CMCIFR2A
METRO CO. FOR BOOK KEEPING AND STOCK DEALING,MTROEGCA
LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA,LOCYFRPP
ABACUS FEDERAL SAVINGS BANK,AFSBUS33
CAIXA GERAL DE DEPOSITOS,CGDIFRPP
ECONOMIC UNION BANK,COEIRUMM
D.I.M.O. GESTION,DIMOFR22
"ABN AMRO BANK N.V., HANOI BRANCH",ABNAVNV5
MIZUHO CORPORATE BANK LTD. PARIS BRANCH,MHCBFRPP
"COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE, LA",COFIFRPP
BANK OF CHINA (ELUOSI),BKCHRUMM
QATAR NATIONAL BANK,QNBAFRPP
AFGHANISTAN INTERNATIONAL BANK,AFIBAFKA
BANQUE MICHEL INCHAUSPE - BAMI,BAMYFR22
BANQUE SOCIETE GENERALE VOSTOK,SOGERUMM
BGFI INTERNATIONAL,BGFIFRPP
CREDIT MUTUEL - CIC BANQUES,CMCIFRPA
CREDIT-MOSCOW BANK,CRMORUMM
FIRST NIAGARA BANK,FNFGUS33
F.B.F. (FORTIS BANQUE FRANCE),RUBBFRPP
LATVIJAS PASTA BANKA,LAPBLV2X
QATAR INVESTMENT AUTHORITY,GQICQAQA
ALLIANCEBERNSTEIN JAPAN LTD,ALCAJPJX
"BANCO DE LA NACION ARGENTINA, MIAMI BRANCH",NACNUS3M
BANK LEUMI USA,LUMIUS3N
EUROTRUST CB ZAO,CEURRUMM
DEUTSCHE BANK AG,DEUTFRPP
CREDIT MUTUEL ARKEA,CMBRFR2B
CREDIT DU MAROC - SUCCURSALE DE PARIS,CDMAFRPX
"SHINSEI BANK, LTD.",LTCBJPJT
IFA SECURITIES BROKERAGE,IFASEGCA
BANQUE DE SAVOIE S.A.,BSAVFR2C
BANK CAPITAL-MOSCOW,CAIWRUMM
SOCIETE CENTRALE DE CREDIT MARITIME MUTUEL,CCBPFRPP
ODDO ET CIE ENTREPRISE D'INVESTISSEMENT,ODDOFRCP
ATLANTIC CENTRAL BANKERS BANK,ATLCUS33
BNP PARIBAS FINAMS,FAMSFRPP
"OITA BANK, LTD., THE",OITAJPJT
"TREASURY OF THE REPUBLIC OF LATVIA, THE",TRELLV22
NATIONAL BANK OF OMAN (SAOG),NBOMEGCX
NEW BRENT FOR SECURITIES BROKERAGE,NEWPEGCA
DAIWA SECURITIES CAPITAL MARKETS CO.LTD.,DWSCJPJT
FREDDIE MAC,FMACUS33
EGYPTIAN INVESTOR PROTECTION FUND,EIPFEGCA
SUEZ SA,SUFIFRPP
BLOM BANK EGYPT S.A.E.,MRBAEGCB
FIRST COMMERCIAL BANK (USA),FCBCUS6L
FACTOBAIL,FACIFRPP
"RBC CAPITAL MARKETS (JAPAN) LTD., TOKYO",RBDSJPJT
"DAISHI BANK LTD.,THE",DAISJPJT
DEXIA BANK CJSC,IKBARUMM
BANGKOK BANK PUBLIC COMPANY LTD.,BKKBJPJT
PPR FINANCE,PPRFFRPP
SUMITOMO MITSUI BANKING CORPORATION,SMBCJPJT
CREDIT AGRICOLE,AGRIFRPP
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LIMITED",ICBKQAQA
BANCO DO BRASIL S.A,BRASUS3M
EUROPE ARAB BANK PLC,ARABFRPP
ECONOMIC GROUP,ECGPEGCA
AFRICAN EXPORT IMPORT BANK,AFXMEGCA
SGAM BANQUE (FORMERLY BAREP BANQUE),RPLAFRPP
BANQUE POPULAIRE DU MASSIF CENTRAL,CCBPFRPP
BLOM BANK QATAR LLC,BLOMQAQA
EVRAZBANK OOO,EVRARUMM
"GOLDMAN, SACHS AND CO.",GOLDUS33
BM SOFTWARE,BMSOFR22
TOTAL TREASURY,TTREFRPP
AGRICULTURAL BANK OF CHINA NEW YORK BRANCH,ABOCUS33
FIRST BANK,FBOLUS6L
"CHUKYO BANK, LIMITED, THE",CKBKJPJN
"LATVIAN BUSINESS BANK, JOINT STOCK COMPANY",MOSBLV2X
DEUTSCHE BANK AG,DEUTQAQA
KOREA EXCHANGE BANK,KOEXFRPP
"CHINATRUST COMMERCIAL BANK, TOKYO BRANCH",CTCBJPJT
SHINKIN CENTRAL BANK,ZENBJPJ2
BANCA IMI SECURITIES CORP.,BIMIUS33
ARAB BANKING CORPORATION,ABCOUS33
GDF SUEZ,GSZGFRPP
"CHANG HWA COMMERCIAL BANK, LTD., LOS ANGELES BRANCH",CCBCUS6L
CHEMICAL BANK,CHEMUS33
ALEKSANDROVSKY BANK,ITEHRU2P
EGYPTIAN KUWAITI SECURITIES COMPANY,EGKUEGCA
CREDIT AGRICOLE SECURITIES ASIA B.V.,CRLYJPJ9
CITY INVEST BANK,CITVRU2P
BANQUE DE BRETAGNE,BDEBFR2R
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,AGIGUS3W
THE ROYAL BANK OF SCOTLAND PLC PARIS BRANCH,RBOSFRPP
CITY MORTGAGE BANK OOO,CMBBRUMM
CLF BANQUE,CLBQFRCC
"CHUGOKU BANK, LTD., THE",CHGKJPJT
COMMONWEALTH BANK OF AUSTRALIA,CTBAJPJT
"SHOKO CHUKIN BANK, LTD., THE",SKCKJPJT
DEUTSCHE BANK OOO,DEUTRUMM
FIRST BANK OF MIAMI,FBOMUS3M
BANK OF CHINA,BKCHJPJT
CAISSE D'EPARGNE DE MIDI PYRENEES,CEPAFRPP
"MEDICAPITAL BANK PLC, SUCCURSALE EN FRANCE",BMCEFRPP
AIG INTERNATIONAL INC.,AIGIUS33
HSBC BANK PLC,MIDLFRCP
DEXIA ASSET MANAGEMENT,DXAMFRPP
BANQUE INTERNATIONALE DE COMMERCE-BRED,BICFFRPP
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX
PROCAPITAL SA,PROCFRPP
AGROIMPULS JOINT STOCK COMMERCIAL BANK,JSCGRU2V
EASTBRIDGE BANK,EBRIRUMM
ABBEY NATIONAL SECURITIES INC.,ANSSUS33
MONABANQ.,MONNFR22
"NATIONAL BANK OF PAKISTAN, KABUL BRANCH",NBPAAFKA
CIBC ALLIANCE GROUP,CIBGRUMM
OKAZ STOCK BROKERS AND INVESTMENT CONSULTANTS,OSICEGCA
BANKHAUS ERBE,WBCCRUMM
ABB BANK,CMABRUMM
BPCE,BPCEFRPP
HSBC BANK EGYPT,EBBKEGCX
BANQUE DELUBAC ET CIE,DELUFR22
BANK OF JAPAN,BOJPJPJT
BANQUE POPULAIRE RIVES DE PARIS,CCBPFRPP
EUROMET BANK,EUMTRUMM
BANCO DO BRASIL S.A.,BRASJPJT
CAISSE D'EPARGNE DE BOURGOGNE FRANCHE-COMTE,CEPAFRPP
BANK OF THE DEVELOPMENT OF TECHNOLOGIES (COMMERCIAL BANK),BDTBRUMM
UNICREDITO ITALIANO SPA - SUCCURSALE DE PARIS,UNCRFRPP
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCX
GE FACTOFRANCE,FACFFRPP
EGYPTIAN AMERICAN CO. FOR BROKERAGE,EGABEGCA
"SMBC FRIEND SECURITIES CO., LTD",YAMTJPJT
TRASTA KOMERCBANKA,KBRBLV2X
QATAR NATIONAL BANK,QNBAQAQA
BNP PARIBAS ASSET MANAGEMENT,PARBFRPM
"CENTRE ASSET MANAGEMENT, LLC",CESAUS33
COSMO SECURITIES CO. LTD.,COSSJPJT
BRED BANQUE POPULAIRE,BREDFRPP
"BANK OF AMERICA, N.A. PARIS",BOFAFRPP
DEXIA MUNICIPAL AGENCY PARIS,DXMAFRPP
EGYPTIAN ARAB LAND BANK,ARLBEGCA
MASRAF AL RAYAN,MAFRQAQA
"STATE BANK OF INDIA, QATAR FINANCIAL CENTRE BRANCH",SBINQAQA
"BANCO DE CREDITO E INVERSIONES, MIAMI BRANCH",CREDUS3M
STANDARD FOR SECURITIES,STSCEGCA
COMMERCIAL BANK SVENSKA HANDELSBANKEN (CLOSED JOINT STOCK COMPANY),HANDRUMM
CENTRAL BANK OF RUSSIAN FEDERATION,CBRFRUMM
SWIFT CUSTOMER SERVICE CENTRE JAPAN,SWHQJPJT
BANK KHOVANSKIY,KHOVRUMM
BANQUE POPULAIRE D'ALSACE,CCBPFRPP
ALNOURAN BROKERAGE AND SECURITIES,NOBSEGCA
HSBC BANK PLC,MIDLFRPX
BANK OF CYPRUS COMMERCIAL BANK LLC,BCYPRUMM
COUNCIL OF EUROPE DEVELOPMENT BANK,CEFPFRPP
LAZARD FRERES GESTION,LAFGFRPP
BANQUE THEMIS (FORMERLY BANQUE DE L'ILE DE FRANCE - B.D.E.I.),BDEIFRPP
SOFAX BANQUE,SFAXFRPP
BARCLAYS BANK LLC,BARCRUMM
BNP PARIBAS ARBITRAGE,BNABFRPP
MAIWAND BANK,MWBKAFKA
AGROINKOMBANK,AGRBRU3A
BANQUE DE L'AGRICULTURE ET DE DEVELOPPEMENT RURAL,BADRDZAL
EL HORREYA SECURITIES BROKERAGE CO.,HRIAEGCA
PRIZMA SECURITIES COMPANY,PRSEEGCA
"THE BANK OF NEW YORK MELLON, TOKYO BRANCH",IRVTJPJX
YVES ROCHER,YROCFRPP
CAISSE D'EPARGNE D'ALSACE,CEPAFRPP
AIB BANK,AIBKUS3T
KBL RICHELIEU BANQUE PRIVEE,KBLXFRPP
"NOMURA ASSET MANAGEMENT CO., LTD.",NAMKJPJT
BANK TROIKA DIALOG,TDBKRUMM
AIRBUS SAS,AIRBFR22
ARAB BANKING CORPORATION EGYPT,EAABEGCX
DEPFA BANK PLC,DPFAJPJT
ALWATANY BANK OF EGYPT,WABAEGCX
COMMERCIAL BANK MAST BANK (JOINT STOCK COMPANY),CMASRUMM
BANCO ITAU EUROPA INTERNATIONAL,ITAUUS3M
CHICAGO MERCANTILE EXCHANGE,XCMEUS4F
PUNJAB NATIONAL BANK,PUNBAFKA
CAISSE D'EPARGNE NORMANDIE,CEPAFRPP
BANQUE POPULAIRE DU NORD,CCBPFRPP
ABC INTERNATIONAL BANK PARIS BRANCH,ABCOFRPP
AIZKRAUKLES BANKA,AIZKLV22
ELBIN BANK,ELBIRU22
NORDEA BANK FINLAND PLC LATVIA BRANCH,NDEALV2X
EUROCLEAR FRANCE,ECLNFRPP
"BANK OF OKINAWA, LTD., THE",BOKIJPJZ
FIRST JOINT STOCK COMMERCIAL BANK,FJCBVNVX
ROYAL BANK OF SCOTLAND PLC,RBOSJPJX
HORIZON SECURITY BROKERAGE COMPANY,HORZEGCA
BANQUE DE L'EUROPE MERIDIONALE SA,BEMOFRPP
MEGA INVESTMENTS SECURITIES,MISHEGCA
"THE NISHI-NIPPON CITY BANK, LTD",NISIJPJT
ABERCROMBIE AND FITCH CO.,ANFCUS33
ATTIJARIWAFA BANK,BCMAFRPP
BANQUE FRANCAISE COMMERCIALE DE L'OCEAN INDIEN,BFCOFRPP
"GLASS LEWIS AND CO, LLC",GLLLUS6S
"INDUSTRIAL BANK OF KOREA, HOCHIMINH BRANCH",IBKOVNVX
BANQUE MISR - SUCCURSALE DE PARIS,BMISFRPP
BANCA REGIONALE EUROPEA S.P.A.,BREUFR22
CAISSE D'EPARGNE DE POITOU CHARENTES,CEPAFRPP
HA BROKERAGE COMPANY,HABCEGCA
"CHUGOKU BANK, LTD., THE",CHGKJPJZ
NATIONAL BANK OF ABU DHABI,NBADEGCA
KABUL BANK,KABUAFKA
BANK SADERAT IRAN,BSIRQAQA
DEUTSCHE BANK AG,DEUTJPJT
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA
AVANGARD BANK,AVJSRUMM
QATAR FIRST INVESTMENT BANK,QFIBQAQA
BANCO DE CREDITO DEL PERU - MIAMI AGENCY,BCPLUS33
1ST ENTERPRISE BANK,FEBKUS6L
BANQUE POPULAIRE BOURGOGNE FRANCHE COMTE,CCBPFRPP
AZIZI BANK,AZBAAFKA
ALTICOR INC,AMWYUS33
"BANK POLSKA KASA OPIEKI S.A., SUCCURSALE DE PARIS",PKOPFRPP
BANQUE POPULAIRE LORRAINE CHAMPAGNE,CCBPFRPP
BRATSKY NARODNY BANK JSC,BRATRU6B
THE UNITED BANK,UBOEEGCX
DYNAMIC SECURITIES TRADING,DYSTEGCA
SIGMA SECURITIES BROKERAGE,SIGMEGCA
UNION TUNISIENNE DE BANQUES,UTUBFRPP
"SKANDINAVISKA ENSKILDA BANKEN, PARIS BRANCH",ESSEFRPX
INTER PARFUMS S.A,IPARFRPP
FIRST INTERCONTINENTAL BANK,FIEBUS3A
BANQUE REVILLON,REVIFRPP
CREDIT BANK OF MOSCOW (OPEN JOINT STOCK COMPANY),MCRBRUMM
EKATERININSKIJ APB OAO,EKATRUMM
BNP-PARIBAS SA,BNPAFRPP
DONINVEST COMMERCIAL BANK,DOCORU2R
"SAN-IN GODO BANK, LTD., THE",SGBKJPJT
AMERICAN PERSPECTIVE BANK,APBAUS6L
ROYAL BANK OF CANADA,ROYCJPJT
BMI BANK B.S.C. QATAR BRANCH,BMUSQAQA
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,EFALFRPP
BANK BFT,BFTFRUMM
CRCMM DE BRETAGNE NORMANDIE,CCBPFRPP
"FIRST MICROFINANCE BANK LTD., THE",FMFBAFKA
"SURUGA BANK, LTD., THE",SRFXJPJT
QATAR INTERNATIONAL ISLAMIC BANK,QIIBQAQA
CITY EXCHANGE CO. W.L.L,CECQQAQA
MERCEDES-BENZ FINANCIAL SERVICES,DFSDFR22
AMERICAN BUSINESS BANK,ACBBUS6L
AS UNICREDIT BANK,VBRILV2X
CAISSE D'EPARGNE DE LORRAINE CHAMPAGNE-ARDENNE,CEPAFRPP
GROUPAMA BANQUE,GPBAFRPP
HONEST BROKERAGE,HOBREGCA
CHELINDBANK,CHLBRU4C
ORBEO,ORBEFRPP
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX
"AICHI BANK, LTD., THE",AICHJPJN
EL TADAMOUN EL ARABI BROKERAGE COMPANY,TDAREGCA
PICTET AND CIE (EUROPE) S.A. SUCCURSALE DE PARIS,PICTFRPP
ALJBA ALLIANCE,ALALRUMM
BOURSE DIRECT SA,BDIRFRPP
"SETO SHINKIN BANK, THE",SSBKJPJZ
CHARLES SCHWAB GLOBAL SERVICES CORP.,CSFXUS6S
LYXOR INTERNATIONAL ASSET MANAGEMENT,LIMXFRPP
SOCIETE GENERALE,SOGEJPJT
FEDERAL BANK FOR INNOVATION AND DEVELOPMENT,FEIDRUMM
BANQUE CHAABI DU MAROC,BCDMFRPP
BTA - KAZAN BANK,BTKZRU2K
FIRST HAWAIIAN BANK,FHBKUS77
1ST UNITED BANK,HEMSUS3M
LA BANQUE POSTALE ASSET MANAGEMENT,LBGAFRPP
SOCIETE GENERALE SECURITIES (NORTH PACIFIC) LTD.,SGNPJPJT
KBC BANK NV PARIS,KREDFRPP
BNP PARIBAS S.A. - TOKYO BRANCH,BNPAJPJT
THE ROOTS STOCK-BROKERAGE HOUSE,ROOTEGCA
EXIMBANK OF RUSSIA,EXIRRUMM
MIRAGE BROKERAGE,MIRAEGCA
BANQUE TARNEAUD,TARNFR2L
BANCO ESPIRITO SANTO,BESCUS33
NATIXIS SECURITIES,IXIRFRPP
THE HAMAMATSU SHINKIN BANK,HMSKJPJT
NATIXIS LEASE,CCBPFRPP
BALTIYSKIY BANK,BABJRU2P
VINCI HOLDING,VINCFRPP
BNP-PARIBAS SA,BNPAFRPH
INDOVINA BANK LTD.,IABBVNVX
QATAR DEVELOPMENT BANK,QIDBQAQA
BANK INVESTBANK -CENTRAL' BRANCH,CONVRUMM
BANK VTB NORTH-WEST,ICSPRU2P
BNP PARIBAS LE CAIRE,BNPAEGCX
"ECOPROMBANK, JOINT-STOCK COMMERCIAL BANK",ECJORU4P
HABIB BANK LIMITED,HABBFRPP
SAFRAN,SFRAFRPP
AVTOGRADBANK,AVGRRU22
BANCA CARIGE SPA,CRGEFR2X
MULTI ACCES BANQUE,CCBPFRPP
NATIXIS,CCBPFRPP
BFT - BANQUE DE FINANCEMENT ET DE TRESORERIE SA,BFTRFRPP
"AEGON USA INVESTMENT MANAGEMENT, LLC",AEGUUS44
CERNER CORPORATION,CEOAUS44
EUROCREDIT COMMERCIAL BANK LTD LIABILITY COMPANY,ECLYRUMM
STANDARD CHARTERED BANK,SCBLQAQX
"SUGAMO SHINKIN BANK, THE",SSHBJPJT
CHOLET DUPONT SA,CHDUFRPP
ENERGOTRANSBANK,ENGORU2K
ARES MANAGEMENT LLC,ARNLUS66
BARCLAYS CAPITAL LIMITED LIABILITY COMPANY,BARCRU2M
BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,BROUUS33
"ING BELGIUM S.A., SUCCURSALE EN FRANCE",INGBFRPP
EUROCLEAR FRANCE,SICVFRPP
BNP PARIBAS VIETNAM - HO CHI MINH CITY BRANCH,BNPAVNVN
BANK HAPOALIM B.M.,POALUS33
ROTHSCHILD AND CIE BANQUE,RCBPFRPR
BANK OF ALGERIA,BALGDZAP
EBI SA,ECOCFRPP
"FAR EAST NATIONAL BANK, HO CHI MINH CITY BRANCH",FENBVNVX
ART-BANK,ARTBRU3V
BANK PRIME FINANCE,PRFNRU2P
BANCA INTESA ZAO MOSCOW,BCITRUMM
TASWEEQ,TSWQQAQA
CITIBANK CAIRO,CITIEGCX
EKATERINBURG BANK,EKNCRU4E
CAISSES D'EPARGNE PARTICIPATIONS,HLCEFRPP
EXPRESS-CREDIT BANK,EXCBRUMM
"OVERSEA-CHINESE BANKING CORPORATION LIMITED, TOKYO BRANCH",OCBCJPJT
FINANCIAL BROKERAGE GROUP (FBG),EFGHEGCA
EULER HERMES SFAC CREDIT,EHSCFR2P
ALCATEL-LUCENT,ATELFRPP
BRED GESTION,BRGEFRPP
LEADERS,LEADEGCA
COMMERZBANK AG,COBAFRPX
"SHONAI BANK, LTD., THE",SNAIJPJT
STATE STREET BANK AND TRUST COMPANY,SBOSJPJX
ARAB BANKING CORPORATION - ALGERIA,ABCODZAL
CAISSE D'EPARGNE BRETAGNE PAYS DE LOIRE,CEPAFRPP
"THE NOMURA TRUST AND BANKING CO., LTD.",NMTBJPJT
CACEIS BANK,ISAEFRPP
BANCO ESPANOL DE CREDITO,ESPCUS3N
BANGKOK BANK PCL,BKKBVNVX
EAST-EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,EEBARUMM
"CAPITAL ONE, N.A.",NFBKUS33
CAPITAL SECURITIES BROKERAGE,YMACEGCA
BANCO DAVIVIENDA S.A.,CAFEUS3M
PHILIPPINE NATIONAL BANK TOKYO BRANCH,PNBMJPJT
CENTER-INVEST CB,CCIVRU2R
BANK OF TOKYO-MITSUBISHI UFJ (EURASIA) ZAO,BOTKRUMM
AMAN SECURITIES COMPANY,AMSOEGCA
COMMERCIAL BANK SUMMIT BANK OPEN JOINT STOCK COMPANY,CBBORU8V
BANQUE POPULAIRE DE L'OUEST,CCBPFRPP
BANK OF INDIA,BKIDJPJT
CAPITAL KREDIT LTD,CINGRUMM
EURONEXT PARIS S.A.,XPARFRPP
BANQUE BCP,BPSMFRPP
UNIVERSAL SECURITIES EXCHANGE FOR BROKERAGE,UNSBEGCA
DLALA BROKERAGE LLC,DLBOQAQA
"NORINCHUKIN BANK, THE",NOCUJPJT
ENISEY (PUBLIC COMPANY) JSCB,ENCBRU55
THE GROUP SECURITIES,GRPSQAQA
FIRST AMERICAN BANK,FAMBUS44
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX
BANQUE CHAIX,CHAIFR2A
FIRST GULF BANK QATAR FINANCIAL CENTRE,FGBMQAQA
DORIS BANK,DORIRUMM
HSBC PRIVATE BANK FRANCE,BLICFRPX
FIRST DATA CORPORATION,FDUSUS55
METROPOLE GESTION,METGFRP2
B AND N BANK (JOINT-STOCK COMPANY),BINORUMM
BANCO ESTADO DE CHILE NEW YORK BRANCH.,BECHUS33
BANK MONETNY DOM,MECLRU4C
ENERGOBANK,TRCBRU2K
AGF ASSET MANAGEMENT,AGFMFRPP
CJSC UNICREDIT SECURITIES,UCSRRUMM
BALTIK DEVELOPMENT BANK,BADJRUMM
ELECTRO BANQUE,ELBAFRPP
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",BOTKJPJT
ABBEY NATIONAL TREASURY SERVICES LTD US BRANCH,ANTSUS33
BANQUE DE DEVELOPPEMENT LOCAL,BDLODZAL
EUROPEENE DE GESTION PRIVEE,EUGPFR22
FAR EASTERN COMMERCIAL BANK OAO,FAECRU8K
"THE 77 BANK,LTD.",BOSSJPJT
LAMINES MARCHANDS EUROPEENS,LMEFFR22
FASTNET FRANCE,FNETFRPP
"NOMURA RESEARCH INSTITUTE, LTD.",NRIWJPJT
CHELYABINVESTBANK,CHINRU4C
GENWORTH LIFE INSURANCE COMPANY,GNWFUS33
"JPMORGAN CHASE BANK, N.A.",CHASFRPP
HOUSING AND DEVELOPMENT BANK,HDBKEGCA
FIDELITY SERVICE CO,FIDQUS3B
BANCO SANTANDER S.A. NEW YORK,BSCHUS33
OSEO GARANTIE,SFGFFRCP
BAC FLORIDA BANK,BFLBUS3M
FORTIS BANQUE FRANCE,BPARFRPP
GENERAL ELECTRIC COMPANY,GENEUS33
GROUPAMA ASSET MANAGEMENT,GPAMFRPP
HSBC BANK (VIETNAM) LTD.,HSBCVNVX
CENTROKREDIT BANK,CKBBRUMM
"NORVIK BANKA, JSC",LATBLV22
GHAZANFAR BANK,GHBKAFKA
AL SALAM BANK ALGERIA,SALGDZAL
ATB BANK,ATBTRUMM
"BANCO DE SABADELL, S.A.",BSABUS3X
BUSINESS DEVELOPMENT BANK,BDBMRUMM
"CREDIT SUISSE AG, TOKYO BRANCH",CRESJPJT
DEXIA MUNICIPAL AGENCY PARIS,DXMAFRCC
LA BANQUE POSTALE,PSSTFRPP
BNP PARIBAS FUND SERVICES SAS,BPASFRPP
MASHREQ TRADE,GSTHEGCA
"ASSOCIATED FOREIGN EXCHANGE, INC",AFEIUS6L
BSI-IFABANQUE SA,IFABFRPP
SEB BANKA,UNLALV2X
ECONOMBANK ZAO,BRECRU2S
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL
CAP GEMINI SERVICE SAS,CAPGFRPP
DELTA RASMALA SECURITIES,DESGEGCA
CB GENBANK OOO,GEOORUMM
CREDIT FONCIER DE FRANCE,CFFRFRPP
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGAL
JSC LATVIJAS KRAJBANKA,UBALLV2X
BOX AND AUTOMATION SOLUTION,BOXXFRPP
BFG-CREDIT BANK,BFGBRUMM
BANK JUGRA,JUGRRUMM
EVROFINANCE MOSNARBANK,EVRFRUMM
BANCO LATINOAMERICANO DE COMERCIO EXTERIOR S.A.,BLAEUS3X
"FIRST REPUBLIC BANK, A BANK IN ORGANIZATION",FRBBUS6S
MASHREQ BANK,MSHQEGCA
ALLY FINANCIAL INC,ALYIUS33
SUMISHO COMPUTER SYSTEMS CORPORATION,SCSJJPJT
"AKITA BANK, LTD.,THE",AKITJPJT
EXANE S.A.,EXANFRPP
DEXIA CREDIT LOCAL,CLFRFRPP
"RABOBANK NEDERLAND, TOKYO BRANCH",RABOJPJT
BANCO SANTANDER S.A.,BSCHFRPP
AKIBANK JSC,AKOARU22
BANQUE LEHMAN BROTHERS,SLBSFRCC
"AWA BANK, LTD., THE",AWABJPJT
"AMB PROPERTY, L.P.",AMBCUS6L
DAIWA SECURITIES CO.LTD.,DAREJPJT
NATIONAL BANK OF ABU DHABI,NBADFRPP
FINANCIERE D'UZES,UZESFRCP
OSOOL ESB FOR SECURITIES BROKERAGE,OSOLEGCA
CPR ASSET MANAGEMENT,CPRMFRPP
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZBJPJX
JASON INFORMATIQUE,JASOFR2P
"OKASAN SECURITIES CO., LTD.",OKASJPJT
CHICAGO MERCANTILE EXCHANGE,XCMEUS4C
BOURSORAMA,BOUSFRPP
BANK MELLI IRAN ZAO,MELIRUMM
"SPARX ASSET MANAGEMENT CO., LTD.",SPAXJPJT
VINCI ENERGIES,VESAFR22
ADP GLOBAL PROXY SERVICES,ADPGUS33
CHUVASHCREDITPROMBANK OAO,CHVARU2C
HOUSING DEVELOPMENT COMMERCIAL J.S. BANK - HCMC,HDBCVNVX
BANK OF INDIA,BKIDFRPP
"AOZORA BANK, LTD",NCBTJPJT
"AGILENT TECHNOLOGIES, INC",AGILUS6S
BANQUE POP CENTRE ATLANTIQUE,CCBPFRPP
"BANGKOK BANK PUBLIC COMPANY LIMITED, NEW YORK",BKKBUS33
"BANK OF TOKYO-MITSUBISHI UFJ, LTD.,THE",BOTKJPJ2
FERROBANK LLC,SVIBRUMM
FIFTH THIRD BANK,FTBCUS3C
AF BANK,BKAFRUMM
CIB FINANCE,CIBRFRPP
ETS J SOUFFLET,SOUFFR22
BANQUE ESPIRITO SANTO ET DE LA VENETIE,BESVFRPP
ABE CLEARING SAS/EBA CLEARING,EBAPFRPP
BANCO INDUSTRIAL DE VENEZUELA,INDSUS33
"BANK OF NOVA SCOTIA,THE",NOSCJPJT
NATIONAL BANK OF EGYPT,NBEGEGCX
AFGAN UNITED BANK,AFGUAFKA
AS SMP BANK,MULTLV2X
BANQUE MISR,BMISEGCX
ALCOA INC.,ALUMUS33
OSEO FINANCEMENT,CPMEFRPP
ALSTOM HOLDINGS,ALHOFRPP
DA AFGHANISTAN BANK,AFGBAFKA
DECATHLON SA,OXYLFR22
GOLDEN SHARE SECURITIES,GSHSEGCA
"CHINATRUST COMMERCIAL BANK, HO CHI MINH CITY BRANCH",CTCBVNVX
BYBLOS BANK EUROPE S.A. (PARIS BRANCH),BYBBFRPP
ACCEPT CB OAO,AJSCRU55
NATIONAL BANK OF PAKISTAN,NBPAFRPP
CHITAPROMSTROYBANK OAO,CHIJRU77
"BANK OF COMMUNICATIONS, TOKYO BRANCH",COMMJPJT
BANQUE POPULAIRE PROVENCALE ET CORSE,CCBPFRPP
GLOBAL PETRO COMMERCIAL JOINT STOCK BANK,GBNKVNVX
"NOMURA SECURITIES CO., LTD.",NMRSJPJT
SOCIETE GENERALE PRIVATE BANKING (JAPAN) LTD.,SGTBJPJT
"UNITED BANK LIMITED, DOHA",UNILQAQA
ACUPAY SYSTEM LLC,ACPYUS33
"SHIGA BANK, LTD., THE",SIGAJPJT
QATARGAS OPERATING CO LTD,QAQGQAQA
"SHIKOKU BANK,LTD.,THE",SIKOJPJT
